,mid,items_radiant,items_dire
359,359,74.0,63.0
360,360,74.0,73.0
361,361,72.0,68.0
362,362,61.0,62.0
363,363,65.0,45.0
364,364,63.0,76.0
365,365,65.0,63.0
366,366,60.0,79.0
367,367,62.0,70.0
368,368,46.0,46.0
369,369,84.0,66.0
370,370,72.0,70.0
371,371,81.0,87.0
372,372,77.0,60.0
373,373,67.0,63.0
374,374,65.0,58.0
375,375,73.0,62.0
376,376,66.0,57.0
377,377,81.0,72.0
378,378,72.0,76.0
379,379,87.0,87.0
380,380,67.0,70.0
381,381,44.0,59.0
382,382,51.0,50.0
383,383,66.0,68.0
384,384,40.0,53.0
385,385,54.0,72.0
386,386,74.0,61.0
387,387,74.0,84.0
388,388,65.0,73.0
389,389,81.0,53.0
390,390,84.0,71.0
391,391,48.0,64.0
392,392,72.0,70.0
393,393,79.0,59.0
394,394,86.0,73.0
395,395,58.0,54.0
396,396,72.0,68.0
397,397,52.0,43.0
398,398,70.0,84.0
399,399,71.0,83.0
400,400,50.0,58.0
401,401,78.0,77.0
402,402,76.0,73.0
403,403,58.0,82.0
404,404,69.0,53.0
405,405,70.0,67.0
406,406,80.0,79.0
407,407,73.0,63.0
408,408,56.0,70.0
409,409,69.0,50.0
410,410,84.0,80.0
411,411,81.0,71.0
412,412,69.0,71.0
413,413,73.0,58.0
414,414,74.0,74.0
415,415,94.0,71.0
416,416,69.0,80.0
417,417,80.0,74.0
418,418,67.0,69.0
419,419,69.0,56.0
420,420,51.0,84.0
421,421,69.0,51.0
422,422,62.0,61.0
423,423,58.0,62.0
424,424,63.0,50.0
425,425,71.0,68.0
426,426,83.0,90.0
427,427,63.0,63.0
428,428,53.0,60.0
429,429,54.0,76.0
430,430,59.0,61.0
431,431,61.0,58.0
432,432,67.0,73.0
433,433,60.0,81.0
434,434,67.0,70.0
435,435,67.0,62.0
436,436,77.0,55.0
437,437,63.0,65.0
438,438,76.0,70.0
439,439,47.0,90.0
440,440,69.0,77.0
441,441,63.0,68.0
442,442,74.0,37.0
443,443,70.0,57.0
444,444,55.0,64.0
445,445,67.0,75.0
446,446,66.0,92.0
447,447,56.0,66.0
448,448,51.0,50.0
449,449,58.0,77.0
450,450,62.0,56.0
451,451,69.0,55.0
452,452,63.0,49.0
453,453,59.0,46.0
454,454,73.0,93.0
455,455,76.0,62.0
456,456,56.0,80.0
457,457,62.0,74.0
458,458,72.0,60.0
459,459,43.0,59.0
460,460,72.0,56.0
461,461,65.0,63.0
462,462,63.0,60.0
463,463,74.0,70.0
464,464,67.0,67.0
465,465,67.0,72.0
466,466,62.0,62.0
467,467,74.0,70.0
468,468,62.0,56.0
469,469,68.0,76.0
470,470,50.0,76.0
471,471,74.0,72.0
472,472,59.0,63.0
473,473,76.0,54.0
474,474,47.0,61.0
475,475,80.0,68.0
476,476,61.0,56.0
477,477,65.0,61.0
478,478,74.0,69.0
479,479,62.0,49.0
480,480,61.0,55.0
481,481,55.0,54.0
482,482,70.0,73.0
483,483,80.0,60.0
484,484,55.0,61.0
485,485,60.0,69.0
486,486,68.0,61.0
487,487,60.0,71.0
488,488,60.0,63.0
489,489,83.0,75.0
490,490,66.0,63.0
491,491,67.0,56.0
492,492,40.0,62.0
493,493,50.0,68.0
494,494,67.0,74.0
495,495,73.0,64.0
496,496,70.0,70.0
497,497,68.0,73.0
498,498,70.0,55.0
499,499,78.0,76.0
500,500,68.0,64.0
501,501,76.0,68.0
502,502,70.0,60.0
503,503,67.0,76.0
504,504,53.0,58.0
505,505,71.0,56.0
506,506,59.0,60.0
507,507,77.0,74.0
508,508,53.0,45.0
509,509,68.0,94.0
510,510,49.0,82.0
511,511,62.0,74.0
512,512,57.0,61.0
513,513,63.0,62.0
514,514,58.0,67.0
515,515,69.0,65.0
516,516,71.0,65.0
517,517,61.0,62.0
518,518,95.0,65.0
519,519,56.0,67.0
520,520,66.0,82.0
521,521,58.0,71.0
522,522,78.0,67.0
523,523,67.0,64.0
524,524,54.0,53.0
525,525,83.0,76.0
526,526,86.0,71.0
527,527,70.0,78.0
528,528,61.0,76.0
529,529,53.0,77.0
530,530,57.0,53.0
531,531,67.0,61.0
532,532,65.0,58.0
533,533,64.0,56.0
534,534,53.0,69.0
535,535,63.0,54.0
536,536,58.0,60.0
537,537,57.0,66.0
538,538,66.0,81.0
539,539,74.0,77.0
540,540,73.0,68.0
541,541,63.0,55.0
542,542,67.0,60.0
543,543,71.0,72.0
544,544,71.0,47.0
545,545,61.0,61.0
546,546,69.0,47.0
547,547,57.0,59.0
548,548,57.0,50.0
549,549,72.0,65.0
550,550,71.0,72.0
551,551,48.0,49.0
552,552,69.0,68.0
553,553,70.0,63.0
554,554,61.0,59.0
555,555,54.0,53.0
556,556,81.0,74.0
557,557,54.0,81.0
558,558,69.0,57.0
559,559,61.0,76.0
560,560,67.0,78.0
561,561,60.0,56.0
562,562,67.0,66.0
563,563,75.0,68.0
564,564,50.0,60.0
565,565,73.0,69.0
566,566,69.0,72.0
567,567,68.0,64.0
568,568,70.0,56.0
569,569,61.0,78.0
570,570,65.0,63.0
571,571,60.0,61.0
572,572,70.0,70.0
573,573,80.0,92.0
574,574,79.0,73.0
575,575,63.0,59.0
576,576,63.0,56.0
577,577,72.0,57.0
578,578,76.0,72.0
579,579,67.0,75.0
580,580,70.0,60.0
581,581,61.0,62.0
582,582,51.0,56.0
583,583,58.0,68.0
584,584,70.0,88.0
585,585,54.0,63.0
586,586,68.0,57.0
587,587,74.0,77.0
588,588,54.0,61.0
589,589,58.0,75.0
590,590,68.0,75.0
591,591,74.0,64.0
592,592,73.0,75.0
593,593,76.0,64.0
594,594,66.0,66.0
595,595,79.0,77.0
596,596,71.0,65.0
597,597,68.0,77.0
598,598,76.0,67.0
599,599,65.0,64.0
600,600,71.0,63.0
601,601,53.0,51.0
602,602,77.0,77.0
603,603,56.0,84.0
604,604,56.0,44.0
605,605,56.0,65.0
606,606,52.0,53.0
607,607,57.0,65.0
608,608,71.0,60.0
609,609,78.0,56.0
610,610,71.0,68.0
611,611,79.0,80.0
612,612,77.0,43.0
613,613,72.0,68.0
614,614,46.0,56.0
615,615,59.0,59.0
616,616,60.0,64.0
617,617,48.0,71.0
618,618,59.0,55.0
619,619,63.0,50.0
620,620,64.0,89.0
621,621,56.0,54.0
622,622,68.0,48.0
623,623,66.0,72.0
624,624,76.0,73.0
625,625,74.0,55.0
626,626,54.0,64.0
627,627,67.0,60.0
628,628,72.0,70.0
629,629,60.0,61.0
630,630,46.0,61.0
631,631,62.0,51.0
632,632,62.0,56.0
633,633,71.0,61.0
634,634,76.0,67.0
635,635,70.0,61.0
636,636,65.0,67.0
637,637,82.0,78.0
638,638,63.0,71.0
639,639,79.0,72.0
640,640,65.0,67.0
641,641,68.0,68.0
642,642,64.0,61.0
643,643,72.0,69.0
644,644,67.0,69.0
645,645,69.0,64.0
646,646,55.0,74.0
647,647,73.0,60.0
648,648,51.0,68.0
649,649,47.0,49.0
650,650,73.0,68.0
651,651,95.0,76.0
652,652,81.0,80.0
653,653,76.0,52.0
654,654,52.0,84.0
655,655,72.0,66.0
656,656,61.0,62.0
657,657,67.0,64.0
658,658,62.0,62.0
659,659,73.0,56.0
660,660,75.0,61.0
661,661,55.0,47.0
662,662,62.0,66.0
663,663,61.0,57.0
664,664,55.0,63.0
665,665,58.0,59.0
666,666,48.0,73.0
667,667,58.0,66.0
668,668,64.0,69.0
669,669,46.0,62.0
670,670,74.0,84.0
671,671,54.0,62.0
672,672,77.0,67.0
673,673,64.0,72.0
674,674,62.0,67.0
675,675,55.0,49.0
676,676,51.0,51.0
677,677,60.0,60.0
678,678,73.0,68.0
679,679,63.0,71.0
680,680,61.0,52.0
681,681,55.0,60.0
682,682,70.0,59.0
683,683,62.0,66.0
684,684,71.0,66.0
685,685,74.0,91.0
686,686,57.0,65.0
687,687,96.0,88.0
688,688,80.0,86.0
689,689,68.0,74.0
690,690,79.0,74.0
691,691,50.0,57.0
692,692,55.0,64.0
693,693,53.0,56.0
694,694,49.0,64.0
695,695,61.0,75.0
696,696,81.0,76.0
697,697,70.0,83.0
698,698,63.0,62.0
699,699,63.0,56.0
700,700,60.0,55.0
701,701,55.0,71.0
702,702,59.0,66.0
703,703,58.0,69.0
704,704,61.0,67.0
705,705,80.0,66.0
706,706,79.0,61.0
707,707,100.0,68.0
708,708,62.0,58.0
709,709,72.0,54.0
710,710,62.0,62.0
711,711,71.0,67.0
712,712,69.0,71.0
713,713,48.0,87.0
714,714,57.0,49.0
715,715,43.0,52.0
716,716,83.0,65.0
717,717,56.0,73.0
718,718,77.0,64.0
719,719,70.0,70.0
720,720,61.0,57.0
721,721,65.0,73.0
722,722,46.0,45.0
723,723,80.0,78.0
724,724,60.0,52.0
725,725,77.0,81.0
726,726,54.0,58.0
727,727,75.0,58.0
728,728,54.0,65.0
729,729,54.0,61.0
730,730,62.0,64.0
731,731,60.0,58.0
732,732,76.0,72.0
733,733,56.0,78.0
734,734,68.0,65.0
735,735,74.0,68.0
736,736,56.0,56.0
737,737,56.0,63.0
738,738,68.0,54.0
739,739,56.0,50.0
740,740,68.0,62.0
741,741,68.0,71.0
742,742,61.0,52.0
743,743,75.0,64.0
744,744,66.0,78.0
745,745,83.0,78.0
746,746,74.0,57.0
747,747,77.0,80.0
748,748,68.0,77.0
749,749,79.0,68.0
750,750,69.0,78.0
751,751,70.0,58.0
752,752,68.0,70.0
753,753,70.0,51.0
754,754,63.0,59.0
755,755,64.0,64.0
756,756,54.0,68.0
757,757,70.0,59.0
758,758,69.0,74.0
759,759,70.0,58.0
760,760,64.0,72.0
761,761,67.0,73.0
762,762,62.0,47.0
763,763,68.0,73.0
764,764,75.0,62.0
765,765,58.0,69.0
766,766,54.0,66.0
767,767,81.0,88.0
768,768,78.0,60.0
769,769,97.0,70.0
770,770,73.0,75.0
771,771,55.0,63.0
772,772,75.0,73.0
773,773,69.0,64.0
774,774,61.0,55.0
775,775,64.0,71.0
776,776,73.0,69.0
777,777,54.0,50.0
778,778,66.0,50.0
779,779,57.0,76.0
780,780,57.0,71.0
781,781,49.0,68.0
782,782,75.0,58.0
783,783,59.0,57.0
784,784,67.0,65.0
785,785,72.0,67.0
786,786,61.0,61.0
787,787,61.0,44.0
788,788,73.0,79.0
789,789,57.0,63.0
790,790,71.0,67.0
791,791,77.0,70.0
792,792,72.0,71.0
793,793,62.0,76.0
794,794,66.0,77.0
795,795,71.0,72.0
796,796,67.0,62.0
797,797,60.0,57.0
798,798,51.0,49.0
799,799,66.0,62.0
800,800,68.0,43.0
801,801,67.0,67.0
802,802,53.0,42.0
803,803,73.0,66.0
804,804,56.0,53.0
805,805,37.0,51.0
806,806,76.0,83.0
807,807,62.0,56.0
808,808,67.0,57.0
809,809,71.0,75.0
810,810,74.0,52.0
811,811,48.0,59.0
812,812,74.0,63.0
813,813,74.0,69.0
814,814,53.0,63.0
815,815,68.0,71.0
816,816,57.0,61.0
817,817,61.0,72.0
818,818,83.0,76.0
819,819,79.0,89.0
820,820,84.0,71.0
821,821,79.0,58.0
822,822,71.0,73.0
823,823,62.0,73.0
824,824,62.0,55.0
825,825,45.0,55.0
826,826,64.0,62.0
827,827,54.0,42.0
828,828,65.0,74.0
829,829,53.0,58.0
830,830,65.0,51.0
831,831,52.0,60.0
832,832,75.0,70.0
833,833,59.0,64.0
834,834,53.0,45.0
835,835,50.0,63.0
836,836,79.0,69.0
837,837,66.0,60.0
838,838,53.0,59.0
839,839,83.0,63.0
840,840,81.0,62.0
841,841,70.0,72.0
842,842,67.0,55.0
843,843,50.0,43.0
844,844,67.0,83.0
845,845,70.0,60.0
846,846,59.0,67.0
847,847,58.0,84.0
848,848,62.0,69.0
849,849,65.0,52.0
850,850,60.0,63.0
851,851,64.0,62.0
852,852,62.0,69.0
853,853,55.0,61.0
854,854,79.0,68.0
855,855,51.0,47.0
856,856,69.0,60.0
857,857,68.0,75.0
858,858,77.0,80.0
859,859,57.0,55.0
860,860,77.0,74.0
861,861,72.0,61.0
862,862,84.0,75.0
863,863,67.0,76.0
864,864,54.0,53.0
865,865,68.0,78.0
866,866,65.0,49.0
867,867,46.0,59.0
868,868,76.0,80.0
869,869,60.0,63.0
870,870,68.0,57.0
871,871,68.0,65.0
872,872,73.0,79.0
873,873,77.0,74.0
874,874,75.0,77.0
875,875,69.0,78.0
876,876,66.0,69.0
877,877,49.0,66.0
878,878,79.0,88.0
879,879,75.0,62.0
880,880,51.0,61.0
881,881,60.0,71.0
882,882,55.0,70.0
883,883,78.0,78.0
884,884,65.0,57.0
885,885,62.0,66.0
886,886,57.0,65.0
887,887,60.0,64.0
888,888,71.0,73.0
889,889,70.0,60.0
890,890,60.0,56.0
891,891,56.0,55.0
892,892,62.0,44.0
893,893,75.0,70.0
894,894,63.0,62.0
895,895,66.0,54.0
896,896,68.0,74.0
897,897,61.0,55.0
898,898,76.0,83.0
899,899,75.0,68.0
900,900,82.0,68.0
901,901,62.0,72.0
902,902,55.0,64.0
903,903,62.0,74.0
904,904,64.0,75.0
905,905,58.0,84.0
906,906,65.0,69.0
907,907,73.0,78.0
908,908,61.0,70.0
909,909,74.0,73.0
910,910,81.0,83.0
911,911,75.0,78.0
912,912,72.0,67.0
913,913,60.0,62.0
914,914,66.0,73.0
915,915,61.0,72.0
916,916,59.0,55.0
917,917,62.0,66.0
918,918,75.0,63.0
919,919,77.0,85.0
920,920,76.0,63.0
921,921,83.0,57.0
922,922,83.0,86.0
923,923,66.0,68.0
924,924,47.0,57.0
925,925,74.0,67.0
926,926,69.0,77.0
927,927,61.0,59.0
928,928,73.0,65.0
929,929,67.0,70.0
930,930,65.0,74.0
931,931,48.0,63.0
932,932,71.0,64.0
933,933,70.0,52.0
934,934,75.0,62.0
935,935,54.0,56.0
936,936,74.0,72.0
937,937,69.0,56.0
938,938,70.0,63.0
939,939,66.0,49.0
940,940,69.0,63.0
941,941,63.0,70.0
942,942,74.0,75.0
943,943,59.0,51.0
944,944,60.0,74.0
945,945,88.0,71.0
946,946,85.0,68.0
947,947,58.0,64.0
948,948,59.0,61.0
949,949,86.0,71.0
950,950,46.0,60.0
951,951,75.0,71.0
952,952,70.0,57.0
953,953,61.0,65.0
954,954,68.0,71.0
955,955,62.0,76.0
956,956,75.0,82.0
957,957,74.0,75.0
958,958,46.0,72.0
959,959,68.0,63.0
960,960,80.0,71.0
961,961,60.0,50.0
962,962,70.0,58.0
963,963,65.0,67.0
964,964,60.0,74.0
965,965,63.0,82.0
966,966,70.0,68.0
967,967,54.0,51.0
968,968,63.0,51.0
969,969,48.0,59.0
970,970,81.0,69.0
971,971,65.0,71.0
972,972,61.0,75.0
973,973,41.0,48.0
974,974,75.0,60.0
975,975,50.0,62.0
976,976,52.0,57.0
977,977,65.0,64.0
978,978,60.0,56.0
979,979,59.0,54.0
980,980,71.0,55.0
981,981,73.0,71.0
982,982,61.0,71.0
983,983,59.0,77.0
984,984,70.0,56.0
985,985,63.0,59.0
986,986,75.0,70.0
987,987,94.0,86.0
988,988,49.0,60.0
989,989,72.0,68.0
990,990,50.0,49.0
991,991,77.0,79.0
992,992,68.0,58.0
993,993,98.0,68.0
994,994,50.0,61.0
995,995,70.0,56.0
996,996,70.0,71.0
997,997,74.0,70.0
998,998,75.0,60.0
999,999,61.0,51.0
1000,1000,76.0,77.0
1001,1001,88.0,63.0
1002,1002,74.0,64.0
1003,1003,80.0,69.0
1004,1004,71.0,74.0
1005,1005,70.0,50.0
1006,1006,65.0,65.0
1007,1007,63.0,64.0
1008,1008,66.0,72.0
1009,1009,62.0,92.0
1010,1010,85.0,74.0
1011,1011,47.0,51.0
1012,1012,53.0,68.0
1013,1013,75.0,81.0
1014,1014,82.0,66.0
1015,1015,58.0,66.0
1016,1016,68.0,59.0
1017,1017,61.0,58.0
1018,1018,58.0,66.0
1019,1019,50.0,69.0
1020,1020,66.0,61.0
1021,1021,65.0,52.0
1022,1022,70.0,78.0
1023,1023,62.0,54.0
1024,1024,63.0,62.0
1025,1025,77.0,74.0
1026,1026,64.0,55.0
1027,1027,58.0,63.0
1028,1028,66.0,72.0
1029,1029,76.0,81.0
1030,1030,66.0,73.0
1031,1031,62.0,72.0
1032,1032,58.0,52.0
1033,1033,66.0,79.0
1034,1034,75.0,84.0
1035,1035,88.0,79.0
1036,1036,73.0,64.0
1037,1037,58.0,58.0
1038,1038,79.0,62.0
1039,1039,66.0,57.0
1040,1040,71.0,58.0
1041,1041,60.0,69.0
1042,1042,63.0,73.0
1043,1043,57.0,59.0
1044,1044,55.0,61.0
1045,1045,47.0,58.0
1046,1046,71.0,63.0
1047,1047,59.0,82.0
1048,1048,69.0,52.0
1049,1049,70.0,86.0
1050,1050,50.0,68.0
1051,1051,59.0,52.0
1052,1052,48.0,61.0
1053,1053,51.0,58.0
1054,1054,76.0,58.0
1055,1055,65.0,56.0
1056,1056,61.0,65.0
1057,1057,75.0,76.0
1058,1058,68.0,82.0
1059,1059,59.0,63.0
1060,1060,58.0,70.0
1061,1061,69.0,64.0
1062,1062,78.0,80.0
1063,1063,78.0,61.0
1064,1064,57.0,83.0
1065,1065,70.0,71.0
1066,1066,64.0,62.0
1067,1067,82.0,78.0
1068,1068,65.0,47.0
1069,1069,64.0,60.0
1070,1070,62.0,75.0
1071,1071,54.0,58.0
1072,1072,67.0,77.0
1073,1073,72.0,71.0
1074,1074,65.0,78.0
1075,1075,67.0,80.0
1076,1076,71.0,56.0
1077,1077,69.0,66.0
1078,1078,67.0,55.0
1079,1079,44.0,64.0
1080,1080,85.0,74.0
1081,1081,67.0,72.0
1082,1082,58.0,55.0
1083,1083,70.0,50.0
1084,1084,72.0,57.0
1085,1085,76.0,70.0
1086,1086,50.0,74.0
1087,1087,46.0,47.0
1088,1088,70.0,68.0
1089,1089,74.0,73.0
1090,1090,45.0,60.0
1091,1091,67.0,65.0
1092,1092,52.0,60.0
1093,1093,75.0,73.0
1094,1094,53.0,60.0
1095,1095,68.0,51.0
1096,1096,61.0,80.0
1097,1097,70.0,57.0
1098,1098,57.0,52.0
1099,1099,50.0,37.0
1100,1100,76.0,80.0
1101,1101,47.0,60.0
1102,1102,61.0,71.0
1103,1103,82.0,56.0
1104,1104,67.0,56.0
1105,1105,66.0,68.0
1106,1106,83.0,88.0
1107,1107,59.0,56.0
1108,1108,43.0,33.0
1109,1109,91.0,94.0
1110,1110,56.0,64.0
1111,1111,47.0,65.0
1112,1112,70.0,59.0
1113,1113,47.0,64.0
1114,1114,102.0,89.0
1115,1115,79.0,61.0
1116,1116,76.0,71.0
1117,1117,80.0,70.0
1118,1118,67.0,83.0
1119,1119,81.0,76.0
1120,1120,56.0,66.0
1121,1121,61.0,80.0
1122,1122,73.0,72.0
1123,1123,80.0,70.0
1124,1124,75.0,68.0
1125,1125,61.0,70.0
1126,1126,85.0,74.0
1127,1127,62.0,48.0
1128,1128,71.0,78.0
1129,1129,59.0,74.0
1130,1130,63.0,53.0
1131,1131,69.0,77.0
1132,1132,79.0,62.0
1133,1133,76.0,58.0
1134,1134,65.0,59.0
1135,1135,63.0,64.0
1136,1136,71.0,62.0
1137,1137,63.0,58.0
1138,1138,53.0,60.0
1139,1139,73.0,67.0
