,mid,gold_radiant,gold_dire
133,133,109893,109437
134,134,94991,103293
135,135,96460,95442
136,136,88873,104614
137,137,116555,114646
138,138,82593,94685
139,139,101936,92006
140,140,111669,117386
141,141,91993,113991
142,142,135569,95075
143,143,107209,93829
144,144,96675,136294
145,145,94861,94473
146,146,87731,97814
147,147,127771,93225
148,148,109390,106948
149,149,102375,122603
150,150,116455,121749
151,151,104322,108524
152,152,98325,92376
153,153,97729,103841
154,154,103488,116182
155,155,124042,113663
156,156,126499,81394
157,157,96827,102849
158,158,103370,91220
159,159,126120,112596
160,160,115958,119334
161,161,87087,101720
162,162,125846,106746
163,163,104391,117263
164,164,100006,97357
165,165,92991,106406
166,166,113043,108139
167,167,117348,121101
168,168,99339,115242
169,169,102185,99580
170,170,108709,111646
171,171,92827,116587
172,172,98438,99375
173,173,110329,67464
174,174,114986,103602
175,175,117692,121691
176,176,108389,95763
177,177,104182,84631
178,178,99453,100443
179,179,110669,97980
180,180,73614,94955
181,181,106918,119058
182,182,89262,99243
183,183,104196,133247
184,184,138816,121446
185,185,121687,106493
186,186,100908,123766
187,187,108874,100491
188,188,101748,101530
189,189,108835,91881
190,190,110682,89130
191,191,106433,103706
192,192,81181,105541
193,193,107306,98560
194,194,104561,90058
195,195,101060,108888
196,196,120514,82877
197,197,123306,93708
198,198,111013,117757
199,199,95803,111755
200,200,93015,137659
201,201,88936,93910
202,202,115641,98500
203,203,100228,131217
204,204,105073,105336
205,205,100802,116317
206,206,98552,95453
207,207,91730,107962
208,208,119556,92081
209,209,110123,106748
210,210,102279,108206
211,211,100476,113387
212,212,100257,113132
213,213,101290,107270
214,214,101497,120154
215,215,97027,97246
216,216,102287,105156
217,217,122556,103731
218,218,90781,109546
219,219,114869,110644
220,220,103305,97638
221,221,84342,114264
222,222,95460,107804
223,223,83316,89994
224,224,72891,93257
225,225,121479,96845
226,226,109936,79080
227,227,110196,101418
228,228,122653,91364
229,229,95034,115679
230,230,111437,104100
231,231,103805,112023
232,232,118098,99438
233,233,93935,115987
234,234,98707,99445
235,235,123304,95120
236,236,99261,95046
237,237,110132,105415
238,238,111155,102878
239,239,116518,96092
240,240,127466,95512
241,241,115463,123596
242,242,104396,116526
243,243,92257,93510
244,244,98969,97722
245,245,101604,110976
246,246,126305,120974
247,247,99958,113608
248,248,112233,90867
249,249,107491,100286
250,250,97296,106086
251,251,80370,102012
252,252,107814,90398
253,253,87220,126446
254,254,107960,97804
255,255,109695,83511
256,256,98363,90910
257,257,83339,93939
258,258,121847,112847
259,259,102131,115306
260,260,114281,95126
261,261,129123,96869
262,262,95029,124300
263,263,97568,126467
264,264,127999,123971
265,265,97032,101134
266,266,125030,99447
267,267,124499,96430
268,268,83167,128108
269,269,99319,93867
270,270,81598,93959
271,271,90595,89240
272,272,75923,117413
273,273,94855,107402
274,274,112129,96287
275,275,87386,135287
276,276,104452,116187
277,277,114231,87167
278,278,103890,110484
279,279,98131,112481
280,280,95710,96963
281,281,116715,102878
282,282,116943,118316
283,283,91188,95672
284,284,108353,98668
285,285,111703,110222
286,286,95911,106972
287,287,95483,129498
288,288,115313,124819
289,289,101349,104662
290,290,103610,111159
291,291,89611,122293
292,292,110839,99030
293,293,84954,103166
294,294,107732,100673
295,295,110305,103220
296,296,107706,84726
297,297,85818,104831
298,298,101739,120624
299,299,103453,117363
300,300,101398,108294
301,301,99911,122114
302,302,108868,105503
303,303,100369,92585
304,304,129576,98962
305,305,101093,93406
306,306,96660,97427
307,307,103058,92719
308,308,104712,125242
309,309,87160,125066
310,310,106999,113432
311,311,115770,125134
312,312,106726,92747
313,313,87179,112774
314,314,92579,103885
315,315,113858,103205
316,316,115533,106609
317,317,90154,117684
318,318,107959,95821
319,319,84035,105140
320,320,94802,110946
321,321,105600,109318
322,322,94307,132475
323,323,101984,105019
324,324,124857,114164
325,325,91394,96884
326,326,112958,117802
327,327,109602,88304
328,328,90373,120872
329,329,103129,141634
330,330,114504,78081
331,331,105463,116681
332,332,106928,128349
333,333,127090,114726
334,334,106038,109648
335,335,100250,110938
336,336,112947,87833
337,337,104915,106169
338,338,108477,92246
339,339,132569,105764
340,340,101376,110421
341,341,97327,112324
342,342,119849,108057
343,343,107445,110951
344,344,122212,98528
345,345,116529,101856
346,346,135559,109810
347,347,101231,92398
348,348,96102,107801
349,349,116154,126393
350,350,105683,108373
351,351,125130,109977
352,352,120571,114355
353,353,90056,76786
354,354,95583,109979
355,355,97851,125076
356,356,99208,112493
357,357,89248,101473
358,358,102946,96918
359,359,91625,116097
360,360,106120,96616
361,361,124329,87133
362,362,127404,75162
363,363,103259,69917
364,364,116600,119452
365,365,101279,97995
366,366,106073,112864
367,367,121138,106566
368,368,96754,100289
369,369,131986,91965
370,370,125753,111469
371,371,98751,118043
372,372,97122,88587
373,373,82148,97879
374,374,112275,110098
375,375,102896,108613
376,376,103635,97476
377,377,123260,110038
378,378,108707,106854
379,379,116045,97953
380,380,90596,115459
381,381,95325,93897
382,382,99498,108826
383,383,120194,109039
384,384,92017,121330
385,385,118717,100758
386,386,96568,106478
387,387,102093,100657
388,388,112371,94823
389,389,128283,102604
390,390,119635,121402
391,391,100235,109788
392,392,110096,110422
393,393,121499,87995
394,394,105638,113982
395,395,105081,102709
396,396,96887,121824
397,397,88762,101144
398,398,99376,112895
399,399,124285,139822
400,400,107993,87727
401,401,127685,105040
402,402,115678,123437
403,403,95181,103804
404,404,113349,109914
405,405,103315,99054
406,406,116239,109798
407,407,110404,93463
408,408,89756,128712
409,409,116310,88072
410,410,121104,145029
411,411,114928,112396
412,412,103096,99355
413,413,106957,106948
414,414,94355,125024
415,415,131875,95610
416,416,102107,98518
417,417,118274,101036
418,418,121142,119942
419,419,112972,91728
420,420,111076,117451
421,421,113444,102006
422,422,102947,94299
423,423,104711,104298
424,424,119707,87043
425,425,109190,101274
426,426,119872,133665
427,427,97312,111040
428,428,118372,122659
429,429,95490,104021
430,430,89147,119136
431,431,86723,90887
432,432,104478,119658
433,433,108785,119296
434,434,108516,83830
435,435,120652,116653
436,436,102110,101496
437,437,112082,110323
438,438,96955,102915
439,439,86657,118009
440,440,88649,127519
441,441,89637,106015
442,442,97343,97676
443,443,89236,113255
444,444,100908,99287
445,445,115110,88912
446,446,105044,122495
447,447,110335,103671
448,448,110156,114502
449,449,108724,118418
450,450,109660,103263
451,451,108320,107805
452,452,100871,94883
453,453,97970,109395
454,454,108269,110914
455,455,94985,111725
456,456,92133,103938
457,457,114013,101530
458,458,103620,88169
459,459,85800,87642
460,460,118104,93126
461,461,106411,125141
462,462,87843,121044
463,463,133125,112303
464,464,94976,109738
465,465,115419,116376
466,466,124620,99632
467,467,110949,115464
468,468,112123,88765
469,469,91147,113560
470,470,97640,108942
471,471,108713,109693
472,472,106405,108266
473,473,117123,76116
474,474,106837,108925
475,475,103433,105658
476,476,92736,122287
477,477,98031,113222
478,478,107128,119907
479,479,131262,89292
480,480,116142,97954
481,481,109030,95612
482,482,130451,108729
483,483,107816,93401
484,484,111132,110975
485,485,106179,106614
486,486,131550,99029
487,487,137398,99510
488,488,86490,95927
489,489,114158,103703
490,490,109091,86303
491,491,104822,118534
492,492,87627,86835
493,493,100792,110582
494,494,97663,113459
495,495,101123,108334
496,496,113609,116337
497,497,110362,99328
498,498,101973,105414
499,499,112065,120706
500,500,96711,113605
501,501,110493,120264
502,502,103544,109296
503,503,94113,124038
504,504,107916,109469
505,505,125545,76731
506,506,95480,107334
507,507,114358,102918
508,508,103375,86335
509,509,118337,103779
510,510,103546,141802
511,511,110624,108583
512,512,88504,106840
513,513,120976,96006
514,514,119672,109161
515,515,106484,109100
516,516,107664,109077
517,517,108077,82936
518,518,102582,124003
519,519,103488,86831
520,520,94368,136880
521,521,110992,106804
522,522,137720,95391
523,523,120762,92096
524,524,114405,95883
525,525,130212,91581
526,526,116178,110721
527,527,86581,119619
528,528,91507,114411
529,529,112573,108156
530,530,94347,104596
531,531,117089,98982
532,532,86950,107813
533,533,101306,113049
534,534,129467,103922
535,535,95666,107217
536,536,93745,109723
537,537,104858,95438
538,538,93479,100604
539,539,105962,135053
540,540,104323,107800
541,541,101644,117946
542,542,101909,114209
543,543,113090,90776
544,544,97692,88221
545,545,97825,97372
546,546,125322,87243
547,547,98241,93726
548,548,90316,96108
549,549,100761,107495
550,550,112747,134009
551,551,78393,118201
552,552,114367,89004
553,553,109139,118570
554,554,103853,105826
555,555,87898,101175
556,556,104243,107061
557,557,93271,120207
558,558,116952,84634
559,559,120159,109098
560,560,103066,102900
561,561,111882,97411
562,562,113326,95762
563,563,130201,106001
564,564,86007,104487
565,565,107763,103197
566,566,92069,117017
567,567,99005,95408
568,568,88468,108584
569,569,131135,108692
570,570,118285,108689
571,571,120657,93008
572,572,98021,110039
573,573,129518,107041
574,574,119440,108734
575,575,94157,109065
576,576,106429,106494
577,577,105668,124696
578,578,107680,111325
579,579,109247,119824
580,580,105891,105891
581,581,101346,87442
582,582,126097,100934
583,583,84718,94079
584,584,102582,114299
585,585,96440,115206
586,586,105221,107931
587,587,94602,99587
588,588,117057,112127
589,589,100200,115929
590,590,103155,129045
591,591,142217,110976
592,592,124455,128267
593,593,117284,88932
594,594,110808,103100
595,595,117863,111817
596,596,130720,111293
597,597,144282,88388
598,598,111997,106364
599,599,93265,94314
600,600,112719,125409
601,601,108917,89863
602,602,138390,121702
603,603,97827,119216
604,604,116618,83132
605,605,124593,99384
606,606,99035,97362
607,607,109699,105688
608,608,97261,111998
609,609,102801,112308
610,610,121913,102099
611,611,109134,98495
612,612,111876,73340
613,613,119188,102270
614,614,109749,87869
615,615,88784,111795
616,616,105729,94546
617,617,121137,91886
618,618,116078,94489
619,619,122373,88725
620,620,105666,125712
621,621,86734,113568
622,622,114269,86503
623,623,87543,124889
624,624,88850,132966
625,625,105226,101173
626,626,97793,104885
627,627,96469,90954
628,628,109993,107185
629,629,87030,102514
630,630,103031,97999
631,631,91659,109068
632,632,115649,94163
633,633,106542,93578
634,634,125771,92729
635,635,107652,100767
636,636,101557,111386
637,637,119077,122475
638,638,100233,105370
639,639,99691,98136
640,640,93270,111170
641,641,105187,101307
642,642,113867,91335
643,643,95512,97469
644,644,118687,120533
645,645,124863,104093
646,646,86996,95545
647,647,107787,125013
648,648,105642,99126
649,649,103288,93639
650,650,120474,110458
651,651,138381,120664
652,652,91895,118282
653,653,108382,96339
654,654,117121,99692
655,655,100430,119158
656,656,106023,108300
657,657,106148,115846
658,658,106948,97360
659,659,101683,108031
660,660,109930,113533
661,661,120672,100185
662,662,113530,114047
663,663,109814,109802
664,664,100096,129014
665,665,102800,97565
666,666,98284,116626
667,667,94152,115058
668,668,111468,112162
669,669,102178,94978
670,670,127536,110506
671,671,110395,97046
672,672,111422,99943
673,673,111422,117297
674,674,104650,93534
675,675,103685,105983
676,676,81303,92451
677,677,112693,95090
678,678,113598,103453
679,679,92948,111428
680,680,91571,97528
681,681,109447,98976
682,682,103926,101212
683,683,131820,103448
684,684,110409,108140
685,685,106410,119036
686,686,104322,105073
687,687,123464,123283
688,688,117843,135291
689,689,112058,133164
690,690,114727,120128
691,691,103185,106157
692,692,112188,102319
693,693,97848,95124
694,694,92818,88627
695,695,87480,102902
696,696,118766,104155
697,697,98344,106810
698,698,107832,89610
699,699,108099,96195
700,700,86227,110078
701,701,100146,99730
702,702,98852,96127
703,703,105303,118254
704,704,107230,113148
705,705,106608,91757
706,706,96028,110863
707,707,123004,110116
708,708,89569,108247
709,709,109432,97121
710,710,94379,115754
711,711,117296,105278
712,712,90015,98362
713,713,87241,133954
714,714,96291,92077
715,715,83098,100680
716,716,125618,105527
717,717,109080,121341
718,718,113797,98506
719,719,96293,129599
720,720,105386,95090
721,721,97813,107879
722,722,77368,94940
723,723,100630,115372
724,724,112203,112952
725,725,127527,139916
726,726,104482,98275
727,727,101777,89241
728,728,79892,117589
729,729,104743,94442
730,730,106890,105327
731,731,83990,91415
732,732,120184,107303
733,733,100600,93892
734,734,112917,130810
735,735,140851,96679
736,736,85059,127814
737,737,98873,86984
738,738,115893,81517
739,739,93581,95205
740,740,93232,109509
741,741,115205,85154
742,742,82986,103712
743,743,119873,96232
744,744,103989,103506
745,745,122105,99810
746,746,99609,97731
747,747,95615,114169
748,748,93644,133525
749,749,111466,105260
750,750,113103,101106
751,751,120731,125898
752,752,92763,123036
753,753,113023,97158
754,754,106288,96873
755,755,102302,92818
756,756,87709,119669
757,757,108334,89677
758,758,104183,115639
759,759,93718,95284
760,760,90769,114125
761,761,110466,100821
762,762,85113,105143
763,763,105170,111210
764,764,106302,113240
765,765,108054,118937
766,766,95686,117677
767,767,95415,128061
768,768,99871,109192
769,769,125811,107571
770,770,112148,112814
771,771,79315,117613
772,772,124170,98415
773,773,112319,93752
774,774,108051,92291
775,775,88933,87041
776,776,118906,120915
777,777,92686,114437
778,778,92352,110173
779,779,101577,107082
780,780,100546,87700
781,781,98639,109756
782,782,112411,86530
783,783,109144,95073
784,784,108756,103413
785,785,95019,98406
786,786,115042,100865
787,787,119435,92993
788,788,111961,99667
789,789,94427,93780
790,790,123856,112565
791,791,125488,100297
792,792,119084,99292
793,793,93905,111506
794,794,94864,115983
795,795,101242,111262
796,796,95759,94716
797,797,100428,95313
798,798,94676,87058
799,799,106235,83906
800,800,143775,88085
801,801,102432,85946
802,802,102971,91218
803,803,107369,120517
804,804,116880,89742
805,805,90665,87939
806,806,102395,134963
807,807,92647,134862
808,808,134338,96765
809,809,109051,106614
810,810,102968,86407
811,811,88494,99072
812,812,121916,111937
813,813,97925,90719
814,814,105738,92683
815,815,115837,106235
816,816,98663,92569
817,817,99649,123770
818,818,113382,130966
819,819,106766,122931
820,820,112483,105302
821,821,99432,104574
822,822,99970,130177
823,823,97030,111079
824,824,92035,91894
825,825,88946,104940
826,826,94565,119424
827,827,94927,83541
828,828,118367,104193
829,829,94706,108861
830,830,100254,89114
831,831,109507,100958
832,832,103838,99506
833,833,90739,102341
834,834,101082,110559
835,835,94428,100206
836,836,105087,99666
837,837,115232,96563
838,838,100759,100406
839,839,127440,108305
840,840,125558,100826
841,841,92957,106798
842,842,100884,97279
843,843,115043,91200
844,844,99875,112644
845,845,101519,110198
846,846,105709,103664
847,847,122363,104548
848,848,90524,105313
849,849,97477,87234
850,850,114053,115444
851,851,75286,121873
852,852,130402,109836
853,853,100682,96114
854,854,112039,93900
855,855,89506,94344
856,856,101290,113207
857,857,98201,95742
858,858,118942,107196
859,859,93536,101639
860,860,84739,116141
861,861,109866,105166
862,862,114035,108880
863,863,116872,125453
864,864,96617,92558
865,865,106482,106834
866,866,86424,106896
867,867,90265,126979
868,868,108352,94956
869,869,112885,96781
870,870,97757,99148
871,871,94065,96754
872,872,108821,104607
873,873,122223,117383
874,874,113526,113707
875,875,129527,123060
876,876,101548,111288
877,877,94661,109775
878,878,112117,112456
879,879,107490,112750
880,880,98706,137383
881,881,102022,120872
882,882,77789,108492
883,883,138465,84891
884,884,100035,99323
885,885,108053,118661
886,886,113524,93034
887,887,110794,103646
888,888,113857,104428
889,889,104147,86913
890,890,109624,96562
891,891,115061,102429
892,892,114278,97987
893,893,109154,105412
894,894,82345,105234
895,895,97466,93471
896,896,107508,100339
897,897,121473,100732
898,898,94957,115090
899,899,115719,97040
900,900,127016,95464
901,901,94949,101594
902,902,119752,96294
903,903,106899,105443
904,904,109299,106106
905,905,107162,119018
906,906,89526,101593
907,907,116101,125206
908,908,111046,107335
909,909,119054,90642
910,910,113060,144938
911,911,108615,129768
912,912,121805,116601
913,913,106365,93521
914,914,135310,100656
915,915,116661,100792
916,916,95218,100025
917,917,103597,112116
918,918,101494,114142
919,919,114255,117233
920,920,105167,137748
921,921,99484,139723
922,922,128966,123834
923,923,116660,97675
924,924,81901,88374
925,925,129752,102308
926,926,103508,118900
927,927,111865,86911
928,928,112011,103783
929,929,98970,115419
930,930,120348,93971
931,931,106122,106448
932,932,129109,100994
933,933,101468,100581
934,934,99664,97989
935,935,83864,96793
936,936,115330,81264
937,937,108544,97077
938,938,101692,88546
939,939,121577,83884
940,940,125291,105942
941,941,98394,113462
942,942,102471,115523
943,943,81595,115650
944,944,84293,95123
945,945,152128,97503
946,946,126153,101723
947,947,93179,96377
948,948,93518,123596
949,949,120867,129667
950,950,100470,113569
951,951,110266,124253
952,952,127112,102752
953,953,106930,96707
954,954,104521,98117
955,955,99651,114129
956,956,103950,106938
957,957,115894,123895
958,958,93798,93720
959,959,131971,115280
960,960,103234,107440
961,961,92794,95014
962,962,93366,102293
963,963,102796,103573
964,964,97615,101836
965,965,103802,106056
966,966,110273,116758
967,967,97315,95897
968,968,97519,87311
969,969,89681,96773
970,970,114069,122462
971,971,94653,122537
972,972,99905,112018
973,973,97174,83062
974,974,118563,90022
975,975,91166,92957
976,976,111083,94746
977,977,92498,119944
978,978,112145,89222
979,979,94348,99582
980,980,92486,110512
981,981,92016,103617
982,982,103412,129589
983,983,121084,113557
984,984,132197,97307
985,985,96755,103387
986,986,100683,119627
987,987,163987,116910
988,988,75835,122892
989,989,96958,107049
990,990,85509,102902
991,991,100056,104555
992,992,104467,110917
993,993,103534,109091
994,994,113994,92010
995,995,121254,102897
996,996,102235,106686
997,997,113929,97128
998,998,108303,115574
999,999,105915,93698
1000,1000,101521,100149
1001,1001,95214,113733
1002,1002,94502,97380
1003,1003,109659,105301
1004,1004,111697,114636
1005,1005,107171,97016
1006,1006,85601,107331
1007,1007,92909,112249
1008,1008,96556,117013
1009,1009,90410,141832
1010,1010,98111,124755
1011,1011,108419,101295
1012,1012,94476,98452
1013,1013,117806,122248
1014,1014,127133,95040
1015,1015,119077,99351
1016,1016,107357,97700
1017,1017,97501,90354
1018,1018,98056,108872
1019,1019,94095,118732
1020,1020,128308,73687
1021,1021,110412,92692
1022,1022,97757,100867
1023,1023,121149,112590
1024,1024,119642,97089
1025,1025,113268,124133
1026,1026,100918,84297
1027,1027,103876,108017
1028,1028,107920,102149
1029,1029,113052,101886
1030,1030,96771,114703
1031,1031,106610,111796
1032,1032,99952,97646
1033,1033,106355,105620
1034,1034,116371,120323
1035,1035,109715,115185
1036,1036,108717,98004
1037,1037,84579,98921
1038,1038,106598,108755
1039,1039,103391,107580
1040,1040,100082,92602
1041,1041,100141,111783
1042,1042,110716,102142
1043,1043,107714,114997
1044,1044,94027,111725
1045,1045,108980,112342
1046,1046,121531,92149
1047,1047,97930,105635
1048,1048,131022,107591
1049,1049,115016,118595
1050,1050,107729,85306
1051,1051,109258,97800
1052,1052,103174,101873
1053,1053,90047,125054
1054,1054,124234,92682
1055,1055,96915,92191
1056,1056,97986,92908
1057,1057,95887,108833
1058,1058,86866,117869
1059,1059,89959,102408
1060,1060,97661,114046
1061,1061,115161,100337
1062,1062,117458,101746
1063,1063,111767,91930
1064,1064,110842,101629
1065,1065,114981,130686
1066,1066,119599,100977
1067,1067,127025,107105
1068,1068,107532,82952
1069,1069,102678,90616
1070,1070,102766,97892
1071,1071,105630,96264
1072,1072,98900,103202
1073,1073,122187,103214
1074,1074,105366,140987
1075,1075,96546,116986
1076,1076,94123,113411
1077,1077,135387,89324
1078,1078,115436,110296
1079,1079,98807,105289
1080,1080,113897,91743
1081,1081,92592,120672
1082,1082,95347,94221
1083,1083,107837,107046
1084,1084,121665,110698
1085,1085,91643,93405
1086,1086,77201,147865
1087,1087,91346,90313
1088,1088,108986,120094
1089,1089,107228,119068
1090,1090,93939,93706
1091,1091,120189,99133
1092,1092,103121,112439
1093,1093,106963,108149
1094,1094,97228,85206
1095,1095,102711,102965
1096,1096,102579,115219
1097,1097,110737,112612
1098,1098,92872,106571
1099,1099,98993,81155
1100,1100,106613,108287
1101,1101,85484,108624
1102,1102,109381,100820
1103,1103,116335,82176
1104,1104,104220,104596
1105,1105,108943,111167
1106,1106,105780,119746
1107,1107,85543,95123
1108,1108,109704,100782
1109,1109,102684,141734
1110,1110,94447,125894
1111,1111,103412,99773
1112,1112,94328,92890
1113,1113,101604,119805
1114,1114,137657,100675
1115,1115,109751,100445
1116,1116,104359,114569
1117,1117,102966,117102
1118,1118,98122,118743
1119,1119,106057,113237
1120,1120,104189,120810
1121,1121,99612,117859
1122,1122,117705,105101
1123,1123,112995,116561
1124,1124,114548,122572
1125,1125,95427,88928
1126,1126,106777,113743
1127,1127,93924,87197
1128,1128,117345,95388
1129,1129,100373,93376
1130,1130,110117,97442
1131,1131,108814,101322
1132,1132,99834,84035
1133,1133,106850,115650
1134,1134,124447,101507
1135,1135,100070,106097
1136,1136,108706,102969
1137,1137,92983,110699
1138,1138,87871,106515
1139,1139,112292,97963
1140,1140,104480,120559
1141,1141,110215,112296
1142,1142,92256,120179
1143,1143,107258,117673
1144,1144,108914,122770
1145,1145,126659,87215
1146,1146,130802,137042
1147,1147,93637,99033
1148,1148,108951,109066
1149,1149,94952,94606
1150,1150,82007,125089
1151,1151,98417,110343
1152,1152,125993,83096
1153,1153,100058,126544
1154,1154,103820,111140
1155,1155,116330,98961
1156,1156,136363,87342
1157,1157,83880,120739
1158,1158,95018,100843
1159,1159,97706,113252
1160,1160,110560,111157
1161,1161,110080,88924
1162,1162,107180,106257
1163,1163,105994,115312
1164,1164,102760,155589
1165,1165,116802,102630
1166,1166,97225,96261
1167,1167,107165,114073
1168,1168,105928,94319
1169,1169,121128,96228
1170,1170,104870,161308
1171,1171,87589,105978
1172,1172,86433,107161
1173,1173,73502,108115
1174,1174,91425,126148
1175,1175,101951,103182
1176,1176,104473,87646
1177,1177,109014,109211
1178,1178,106659,116855
1179,1179,117361,108587
1180,1180,99517,105877
1181,1181,99312,73233
1182,1182,91907,123056
1183,1183,118905,136146
1184,1184,95854,116020
1185,1185,126843,101893
1186,1186,127494,111365
1187,1187,103953,101692
1188,1188,97293,94181
1189,1189,112963,103124
1190,1190,107081,84729
1191,1191,102884,124950
1192,1192,95068,96884
1193,1193,119465,110694
1194,1194,122153,115923
1195,1195,105456,111114
1196,1196,99567,120650
1197,1197,110318,89636
1198,1198,106418,104049
1199,1199,99479,131806
1200,1200,87430,112438
1201,1201,108939,109306
1202,1202,110656,111644
1203,1203,101761,96734
1204,1204,129936,126772
1205,1205,96380,112072
1206,1206,95188,94493
1207,1207,90243,110613
1208,1208,99943,90859
1209,1209,108170,116640
1210,1210,118882,101930
1211,1211,93138,76571
1212,1212,91533,98405
1213,1213,85300,89389
1214,1214,106243,89731
1215,1215,115891,107074
1216,1216,94673,127258
1217,1217,71934,104025
1218,1218,89741,123103
1219,1219,101083,109133
1220,1220,119724,85363
1221,1221,99186,112080
1222,1222,85728,122507
1223,1223,101422,110596
1224,1224,103231,105725
1225,1225,94532,108602
1226,1226,106481,94155
1227,1227,107361,113810
1228,1228,111282,99348
1229,1229,96025,103885
1230,1230,114075,93099
1231,1231,104333,125158
1232,1232,121411,104899
1233,1233,95274,109812
1234,1234,132337,102229
1235,1235,112983,91125
1236,1236,124451,98629
1237,1237,97348,113147
1238,1238,101699,98213
1239,1239,124424,120235
1240,1240,97010,121482
1241,1241,105907,102834
1242,1242,102259,98016
1243,1243,122008,106175
1244,1244,108378,96487
1245,1245,84232,99841
1246,1246,120167,87967
1247,1247,95314,93442
1248,1248,110542,103969
1249,1249,108969,108975
1250,1250,83719,103226
1251,1251,97360,104740
1252,1252,94255,87016
1253,1253,97761,104861
1254,1254,90465,116305
1255,1255,107297,116613
1256,1256,124809,93470
1257,1257,90144,108770
1258,1258,91826,92984
1259,1259,88332,97191
1260,1260,97148,104636
1261,1261,101681,103046
1262,1262,112710,95652
1263,1263,111525,83521
1264,1264,83008,90544
1265,1265,96495,115086
1266,1266,90079,114801
1267,1267,86044,101391
1268,1268,103507,103666
1269,1269,102909,99615
1270,1270,100585,94507
1271,1271,98918,111124
1272,1272,105379,99733
1273,1273,139689,122046
1274,1274,109857,101799
1275,1275,102456,101928
1276,1276,89395,114248
1277,1277,126567,93317
1278,1278,110515,99930
1279,1279,102221,109098
1280,1280,117144,122733
1281,1281,104605,82476
1282,1282,108563,88477
1283,1283,99593,111915
1284,1284,105092,90613
1285,1285,125099,89182
1286,1286,81916,121593
1287,1287,106859,133380
1288,1288,103989,110822
1289,1289,105550,89489
1290,1290,112074,106661
1291,1291,99604,95299
1292,1292,97824,126330
1293,1293,95420,102773
1294,1294,102957,93327
1295,1295,122436,94154
1296,1296,104237,106299
1297,1297,93065,112859
1298,1298,108790,93132
1299,1299,102509,105028
1300,1300,111209,90587
1301,1301,148944,121768
1302,1302,113133,113303
1303,1303,103420,101508
1304,1304,108199,107101
1305,1305,110209,86177
1306,1306,113017,104120
1307,1307,98250,107437
1308,1308,109649,105660
1309,1309,112631,107698
1310,1310,90757,98245
1311,1311,99806,95355
1312,1312,105438,97360
1313,1313,98456,96188
1314,1314,108186,105774
1315,1315,119141,79752
1316,1316,108033,103176
1317,1317,99903,107381
1318,1318,95384,119011
1319,1319,79721,93602
1320,1320,112905,91682
1321,1321,93865,110013
1322,1322,91500,103610
1323,1323,101496,99175
1324,1324,102197,89389
1325,1325,120895,125989
1326,1326,112956,80472
1327,1327,129702,110663
1328,1328,103308,102010
1329,1329,104027,100318
