,mid,xp_radiant,xp_dire
537,537,80619,74196
538,538,68378,76451
539,539,78873,93012
540,540,75618,84490
541,541,68016,82948
542,542,77403,77292
543,543,85430,69733
544,544,79187,70338
545,545,68712,69378
546,546,85628,69796
547,547,74443,75146
548,548,72774,72605
549,549,72771,73193
550,550,75717,89941
551,551,65714,83595
552,552,87420,72851
553,553,77196,73722
554,554,80144,84393
555,555,64161,76239
556,556,77980,72426
557,557,66055,82019
558,558,83329,64700
559,559,80699,85612
560,560,79459,81012
561,561,80944,78467
562,562,82770,75098
563,563,82415,74417
564,564,81887,82547
565,565,82045,81984
566,566,80268,83992
567,567,78821,70129
568,568,68543,88866
569,569,82453,79914
570,570,76706,87316
571,571,88253,76809
572,572,75027,92329
573,573,91449,78272
574,574,81857,80353
575,575,71800,87078
576,576,78914,76193
577,577,75117,73856
578,578,76585,75141
579,579,81834,85569
580,580,83155,81932
581,581,77297,62179
582,582,78245,85316
583,583,63883,69610
584,584,77317,78206
585,585,68167,73862
586,586,76727,79123
587,587,72189,78118
588,588,83857,78857
589,589,69393,92045
590,590,72202,84940
591,591,88968,94994
592,592,87602,89185
593,593,93476,73810
594,594,78809,71123
595,595,83378,80699
596,596,84977,75007
597,597,81322,68562
598,598,77610,72651
599,599,73672,71954
600,600,85424,77969
601,601,77578,70784
602,602,83477,87640
603,603,77176,84988
604,604,92574,65296
605,605,81097,68581
606,606,76718,81064
607,607,75903,72490
608,608,75994,84758
609,609,68899,73532
610,610,84576,74221
611,611,77988,69238
612,612,83132,60107
613,613,82470,78056
614,614,92049,70027
615,615,85471,69376
616,616,72931,69803
617,617,86575,75338
618,618,84970,76509
619,619,88372,70987
620,620,77420,90522
621,621,73477,85543
622,622,81555,71612
623,623,72087,86848
624,624,71452,91801
625,625,76982,74482
626,626,71912,75906
627,627,73182,73101
628,628,82025,71316
629,629,70331,78271
630,630,86658,82889
631,631,67760,82913
632,632,82328,75144
633,633,80011,72126
634,634,86306,66655
635,635,74583,69254
636,636,76251,80730
637,637,79361,89442
638,638,76515,80193
639,639,70077,82765
640,640,74105,81544
641,641,81694,78620
642,642,80170,71978
643,643,75154,66872
644,644,83368,100578
645,645,83279,76872
646,646,66931,78273
647,647,76265,80410
648,648,71866,79303
649,649,73824,79579
650,650,86149,88271
651,651,90202,81592
652,652,65629,81785
653,653,82471,70133
654,654,77190,78986
655,655,78090,102827
656,656,74588,79650
657,657,79271,78726
658,658,86750,75599
659,659,78526,79098
660,660,79992,69823
661,661,82281,87291
662,662,67460,70763
663,663,86348,67699
664,664,74268,98741
665,665,80033,76214
666,666,81868,89433
667,667,72981,88242
668,668,78870,81994
669,669,83151,81331
670,670,87496,75537
671,671,74728,78065
672,672,78970,73799
673,673,80067,86773
674,674,81443,65490
675,675,76551,84447
676,676,66521,79251
677,677,75949,73168
678,678,69401,75290
679,679,70218,74709
680,680,72281,71801
681,681,80465,71165
682,682,81375,77072
683,683,71248,77452
684,684,79711,76094
685,685,66075,77589
686,686,80737,76797
687,687,82502,86999
688,688,77824,86696
689,689,75485,94029
690,690,75147,77577
691,691,69859,72978
692,692,78209,84280
693,693,80128,76969
694,694,66289,79208
695,695,73787,89239
696,696,86814,70278
697,697,75967,84710
698,698,72846,64306
699,699,82320,82759
700,700,63929,77794
701,701,69229,73855
702,702,78642,75065
703,703,70808,70397
704,704,86136,87580
705,705,83251,70801
706,706,77157,68216
707,707,86732,74091
708,708,64728,74666
709,709,88202,83457
710,710,72606,87325
711,711,82704,78302
712,712,72274,71730
713,713,66561,87166
714,714,73517,74147
715,715,71794,68868
716,716,86697,83149
717,717,75153,83064
718,718,80867,72187
719,719,70329,89234
720,720,74641,73641
721,721,64028,73992
722,722,74986,80392
723,723,70538,81710
724,724,84252,84202
725,725,79538,91976
726,726,87850,76732
727,727,80833,67465
728,728,71186,84937
729,729,75878,75007
730,730,88288,75941
731,731,74711,74264
732,732,87303,75624
733,733,75044,75032
734,734,70208,88276
735,735,90308,71302
736,736,68697,87809
737,737,71307,70503
738,738,76928,63519
739,739,80338,88021
740,740,78564,87217
741,741,79863,66329
742,742,61869,81422
743,743,79862,69598
744,744,77496,83076
745,745,79598,73963
746,746,77979,85692
747,747,65977,77906
748,748,68904,90982
749,749,86080,78200
750,750,79852,74823
751,751,88575,75836
752,752,74739,87097
753,753,83900,73559
754,754,77103,69970
755,755,81014,80612
756,756,68805,80260
757,757,87219,70118
758,758,75853,82984
759,759,72607,71910
760,760,66403,86553
761,761,80396,79890
762,762,62679,76177
763,763,75975,87866
764,764,69438,72870
765,765,92073,94074
766,766,73600,84578
767,767,69686,88532
768,768,71516,80372
769,769,80974,74234
770,770,76836,74276
771,771,67494,83420
772,772,95912,81582
773,773,84207,72704
774,774,76068,68026
775,775,73648,65847
776,776,81150,82218
777,777,77396,82592
778,778,69460,85929
779,779,75586,85161
780,780,76493,73414
781,781,81197,93204
782,782,77690,63402
783,783,81094,78433
784,784,82429,76612
785,785,77841,74724
786,786,79231,79844
787,787,90764,77263
788,788,73962,61375
789,789,73319,75282
790,790,78720,80192
791,791,82533,72446
792,792,83364,76003
793,793,69804,81372
794,794,68823,80579
795,795,77120,81985
796,796,69636,80025
797,797,79040,76530
798,798,74017,76328
799,799,81279,62968
800,800,97237,68983
801,801,74637,66257
802,802,78185,73638
803,803,73056,86233
804,804,84241,67321
805,805,72089,82992
806,806,75573,105431
807,807,72950,94138
808,808,95050,64309
809,809,83259,70978
810,810,82315,71106
811,811,74528,75321
812,812,81582,76540
813,813,75298,76033
814,814,76703,78293
815,815,78188,91035
816,816,61323,67632
817,817,76617,83610
818,818,76551,82536
819,819,72954,84813
820,820,80716,73868
821,821,77494,74598
822,822,71400,88244
823,823,74645,79021
824,824,69553,85472
825,825,71099,71659
826,826,70282,89635
827,827,72222,67839
828,828,80051,80759
829,829,73266,78752
830,830,86375,70128
831,831,85717,77088
832,832,83208,77429
833,833,83252,77339
834,834,80560,83358
835,835,78934,78049
836,836,81467,76744
837,837,85403,81810
838,838,99275,91346
839,839,93764,89358
840,840,80291,70626
841,841,72426,75506
842,842,75739,77740
843,843,82613,77065
844,844,71004,85854
845,845,73048,68507
846,846,80021,75206
847,847,74005,80351
848,848,64228,81699
849,849,74777,62867
850,850,82108,77964
851,851,61146,81500
852,852,77034,73449
853,853,77746,82658
854,854,78708,69548
855,855,66111,67178
856,856,77265,79391
857,857,73239,67328
858,858,75081,75237
859,859,75763,79335
860,860,61143,88529
861,861,81867,78331
862,862,81398,69237
863,863,94656,77843
864,864,76671,73052
865,865,78163,78672
866,866,68846,76502
867,867,78417,84444
868,868,82439,68722
869,869,83865,77555
870,870,75154,66904
871,871,67092,77470
872,872,76530,76573
873,873,85784,83242
874,874,77421,74960
875,875,78986,80410
876,876,71713,86122
877,877,61141,81465
878,878,84011,87146
879,879,89587,92155
880,880,71973,82019
881,881,77296,89046
882,882,67409,84051
883,883,94521,62264
884,884,68662,71078
885,885,77706,73433
886,886,83201,69727
887,887,86494,78692
888,888,79100,74797
889,889,80944,72011
890,890,88757,69244
891,891,75745,80856
892,892,86814,83818
893,893,75440,80266
894,894,67852,80930
895,895,74001,66663
896,896,73472,77770
897,897,75890,76242
898,898,66493,80878
899,899,75144,72634
900,900,87004,71692
901,901,73407,70323
902,902,87937,73982
903,903,79886,73707
904,904,85788,85187
905,905,66898,81230
906,906,74156,82277
907,907,89816,97974
908,908,82295,80956
909,909,80493,66656
910,910,71777,87357
911,911,81102,95351
912,912,82731,74546
913,913,82035,72199
914,914,92035,69041
915,915,84467,78219
916,916,69262,84711
917,917,85601,79131
918,918,78435,88582
919,919,83356,84362
920,920,70778,80512
921,921,71116,86823
922,922,80562,80703
923,923,77575,74089
924,924,75836,81293
925,925,87865,80156
926,926,69129,82386
927,927,74131,73869
928,928,81395,78892
929,929,77750,83534
930,930,83339,73071
931,931,79658,75504
932,932,88975,72173
933,933,74397,79186
934,934,70827,82457
935,935,68534,72940
936,936,78709,64666
937,937,83275,70857
938,938,70057,72171
939,939,81099,59201
940,940,97289,72576
941,941,70866,76398
942,942,79603,82386
943,943,63314,83577
944,944,67057,66892
945,945,90283,82887
946,946,86749,74230
947,947,78595,74135
948,948,77211,93461
949,949,83873,91881
950,950,84061,80614
951,951,73323,94387
952,952,89903,81190
953,953,75756,78579
954,954,73294,69902
955,955,78003,75940
956,956,75652,80989
957,957,86723,89622
958,958,70925,67404
959,959,82750,98023
960,960,73383,73475
961,961,68763,77414
962,962,73541,72236
963,963,73261,74745
964,964,74749,83187
965,965,76215,81205
966,966,79532,83073
967,967,73603,75697
968,968,77345,76594
969,969,69947,79099
970,970,86878,82677
971,971,75436,91314
972,972,69172,72051
973,973,83045,73500
974,974,82871,61811
975,975,74218,73631
976,976,81052,73822
977,977,75507,86023
978,978,88727,70377
979,979,74290,82321
980,980,73603,80244
981,981,78924,73315
982,982,81192,100730
983,983,80723,81081
984,984,94072,69337
985,985,74507,82796
986,986,81149,87944
987,987,105170,74240
988,988,67251,82176
989,989,70956,72567
990,990,67313,80377
991,991,77418,76506
992,992,84192,82805
993,993,72077,83178
994,994,74008,73951
995,995,95788,82827
996,996,70827,90752
997,997,74446,66826
998,998,73870,77003
999,999,86302,74182
1000,1000,75545,78827
1001,1001,65599,82261
1002,1002,68551,75248
1003,1003,73604,68549
1004,1004,70966,79261
1005,1005,86599,76110
1006,1006,67094,78326
1007,1007,83252,80107
1008,1008,71398,86364
1009,1009,63905,94133
1010,1010,78287,90095
1011,1011,75089,87420
1012,1012,74143,67398
1013,1013,81713,87704
1014,1014,87138,61817
1015,1015,77518,79652
1016,1016,77101,77587
1017,1017,77514,77271
1018,1018,75862,81262
1019,1019,70324,78034
1020,1020,92700,57045
1021,1021,90175,65437
1022,1022,72335,80576
1023,1023,91442,88195
1024,1024,96348,83711
1025,1025,70856,81970
1026,1026,79315,71904
1027,1027,75345,73806
1028,1028,71649,70151
1029,1029,84610,75319
1030,1030,70406,82043
1031,1031,73307,70319
1032,1032,82341,81202
1033,1033,78399,73472
1034,1034,77764,82644
1035,1035,78470,80864
1036,1036,73543,76496
1037,1037,70467,86350
1038,1038,75946,76703
1039,1039,72955,78271
1040,1040,71214,70312
1041,1041,70525,78979
1042,1042,77160,71482
1043,1043,92449,95444
1044,1044,69338,80710
1045,1045,66891,81361
1046,1046,83320,73320
1047,1047,68123,81063
1048,1048,98872,76460
1049,1049,80407,83461
1050,1050,83181,69593
1051,1051,80878,75326
1052,1052,85180,78769
1053,1053,71821,85895
1054,1054,89492,75063
1055,1055,76994,80423
1056,1056,76675,72136
1057,1057,65897,71068
1058,1058,71164,80638
1059,1059,76417,94912
1060,1060,72459,81556
1061,1061,91648,77979
1062,1062,78285,78901
1063,1063,87196,69844
1064,1064,78940,70669
1065,1065,73841,83273
1066,1066,93956,77149
1067,1067,82406,72712
1068,1068,82552,69683
1069,1069,77228,69128
1070,1070,73824,74259
1071,1071,77480,79572
1072,1072,66556,80277
1073,1073,83369,77970
1074,1074,77198,88885
1075,1075,78620,88735
1076,1076,70593,76912
1077,1077,102222,68521
1078,1078,81108,89737
1079,1079,76250,89826
1080,1080,82191,64420
1081,1081,70574,83430
1082,1082,71151,77730
1083,1083,73797,75576
1084,1084,81993,77622
1085,1085,68327,71749
1086,1086,68169,91223
1087,1087,72835,72554
1088,1088,77754,85259
1089,1089,79955,83744
1090,1090,80580,76808
1091,1091,82695,75129
1092,1092,77333,96017
1093,1093,82610,89781
1094,1094,79571,83356
1095,1095,79655,81870
1096,1096,78019,78726
1097,1097,81643,73516
1098,1098,74786,86219
1099,1099,80430,63179
1100,1100,70679,81424
1101,1101,70025,85376
1102,1102,81269,68647
1103,1103,82875,65305
1104,1104,75699,78713
1105,1105,84069,78825
1106,1106,74859,84056
1107,1107,69913,81642
1108,1108,75428,71369
1109,1109,65341,88110
1110,1110,72266,90981
1111,1111,75620,78235
1112,1112,71684,74017
1113,1113,80233,85526
1114,1114,92627,68521
1115,1115,85517,86403
1116,1116,70620,77142
1117,1117,69020,87651
1118,1118,78088,79297
1119,1119,73634,83196
1120,1120,72466,83135
1121,1121,64958,78230
1122,1122,78439,81982
1123,1123,78523,93003
1124,1124,82534,91806
1125,1125,62928,68653
1126,1126,75608,76435
1127,1127,69509,66719
1128,1128,83060,68360
1129,1129,72996,73856
1130,1130,91431,75258
1131,1131,82274,74973
1132,1132,73934,74827
1133,1133,80167,80755
1134,1134,89749,76044
1135,1135,85594,76461
1136,1136,91847,85511
1137,1137,76970,77960
1138,1138,68899,86350
1139,1139,74874,74488
1140,1140,78367,87461
1141,1141,82668,82555
1142,1142,65695,83674
1143,1143,84435,86519
1144,1144,73165,88772
1145,1145,86796,68359
1146,1146,78772,100338
1147,1147,69495,81614
1148,1148,88965,78059
1149,1149,67475,72422
1150,1150,67712,83676
1151,1151,72814,73535
1152,1152,80258,64836
1153,1153,75528,80558
1154,1154,75913,81497
1155,1155,83286,77478
1156,1156,97447,68291
1157,1157,73639,90039
1158,1158,73206,74736
1159,1159,73712,78593
1160,1160,77738,77610
1161,1161,75425,72041
1162,1162,84737,87414
1163,1163,77724,91514
1164,1164,69593,91640
1165,1165,94403,78370
1166,1166,75992,71709
1167,1167,73864,84076
1168,1168,89141,74773
1169,1169,88462,73153
1170,1170,75457,100072
1171,1171,69997,77580
1172,1172,66766,80521
1173,1173,53939,84206
1174,1174,68932,95202
1175,1175,72859,83351
1176,1176,79335,68636
1177,1177,83121,90900
1178,1178,71271,96056
1179,1179,81895,74538
1180,1180,70867,77505
1181,1181,80958,70456
1182,1182,68740,79204
1183,1183,75880,86530
1184,1184,61511,74827
1185,1185,93656,70583
1186,1186,87424,68126
1187,1187,75439,73682
1188,1188,76977,76360
1189,1189,77485,80289
1190,1190,78137,65983
1191,1191,69932,93669
1192,1192,66389,74966
1193,1193,81915,77047
1194,1194,67240,86047
1195,1195,77984,81098
1196,1196,78341,82593
1197,1197,81366,73907
1198,1198,67455,76718
1199,1199,77064,94071
1200,1200,79049,80678
1201,1201,84454,94058
1202,1202,74099,91380
1203,1203,70897,76260
1204,1204,89864,86557
1205,1205,73103,75514
1206,1206,68425,69398
1207,1207,69294,85434
1208,1208,75066,72193
1209,1209,81783,81031
1210,1210,83728,68633
1211,1211,75449,67953
1212,1212,82262,74323
1213,1213,70513,70976
1214,1214,77320,62229
1215,1215,72104,78210
1216,1216,71089,101610
1217,1217,64646,85372
1218,1218,60616,91280
1219,1219,71825,83002
1220,1220,89293,70402
1221,1221,80367,78315
1222,1222,68678,96738
1223,1223,82452,83301
1224,1224,74837,84717
1225,1225,67444,79996
1226,1226,78111,66093
1227,1227,79988,79253
1228,1228,78516,81773
1229,1229,70970,79502
1230,1230,84392,73420
1231,1231,75473,73209
1232,1232,80881,76670
1233,1233,77258,87017
1234,1234,93374,74718
1235,1235,79689,70954
1236,1236,92300,67302
1237,1237,70138,86325
1238,1238,74266,68876
1239,1239,92039,82066
1240,1240,70853,95415
1241,1241,74106,78595
1242,1242,76195,73583
1243,1243,86368,77234
1244,1244,82320,72593
1245,1245,65978,81142
1246,1246,88613,75336
1247,1247,73440,76286
1248,1248,80402,81469
1249,1249,81032,77279
1250,1250,68485,80705
1251,1251,71137,76247
1252,1252,76370,73275
1253,1253,69256,79695
1254,1254,78367,94360
1255,1255,81206,89059
1256,1256,99514,76818
1257,1257,71230,78404
1258,1258,69351,71937
1259,1259,71536,77140
1260,1260,78652,74958
1261,1261,76489,76193
1262,1262,86328,71006
1263,1263,85591,71791
1264,1264,68204,78124
1265,1265,72249,78911
1266,1266,84988,89296
1267,1267,63306,78183
1268,1268,78413,76671
1269,1269,77472,78438
1270,1270,77678,75804
1271,1271,82152,86535
1272,1272,79040,67321
1273,1273,88820,83006
1274,1274,78086,68859
1275,1275,72542,76356
1276,1276,68985,87407
1277,1277,92545,65450
1278,1278,79630,67877
1279,1279,73246,89434
1280,1280,90960,80113
1281,1281,75880,68900
1282,1282,79989,65772
1283,1283,68308,76365
1284,1284,75440,65207
1285,1285,81048,61345
1286,1286,70220,84351
1287,1287,77010,85797
1288,1288,79033,95379
1289,1289,83212,70186
1290,1290,87512,74078
1291,1291,74143,72830
1292,1292,74985,91998
1293,1293,70225,76859
1294,1294,77246,73534
1295,1295,91302,70687
1296,1296,83073,83823
1297,1297,69650,83731
1298,1298,83275,76062
1299,1299,74631,71396
1300,1300,80629,75680
1301,1301,93702,77306
1302,1302,73683,73119
1303,1303,76333,76249
1304,1304,87643,83419
1305,1305,87513,75426
1306,1306,89928,72965
1307,1307,67378,74951
1308,1308,77178,78684
1309,1309,83052,81771
1310,1310,78020,79285
1311,1311,77969,76704
1312,1312,79574,77567
1313,1313,69975,79936
1314,1314,80820,79274
1315,1315,83565,69560
1316,1316,76019,77732
1317,1317,75052,76979
1318,1318,69465,80567
1319,1319,70757,74478
1320,1320,83282,74498
1321,1321,64037,78341
1322,1322,81463,78530
1323,1323,77193,77616
1324,1324,84416,73335
1325,1325,84105,83606
1326,1326,81263,63653
1327,1327,90042,83946
1328,1328,78055,85965
1329,1329,88174,83856
