,mid,lh_radiant,lh_dire
155,155,1060,1118
156,156,818,502
157,157,732,770
158,158,897,574
159,159,833,764
160,160,755,646
161,161,464,597
162,162,1049,764
163,163,593,890
164,164,789,643
165,165,621,797
166,166,779,803
167,167,904,794
168,168,570,701
169,169,722,871
170,170,693,732
171,171,619,928
172,172,549,646
173,173,655,291
174,174,681,748
175,175,748,569
176,176,806,651
177,177,585,611
178,178,684,803
179,179,767,596
180,180,388,482
181,181,827,766
182,182,747,720
183,183,585,787
184,184,889,742
185,185,646,771
186,186,801,548
187,187,864,578
188,188,614,732
189,189,778,692
190,190,739,704
191,191,629,576
192,192,471,754
193,193,818,531
194,194,728,603
195,195,734,800
196,196,837,444
197,197,813,760
198,198,656,795
199,199,549,775
200,200,595,868
201,201,590,765
202,202,831,612
203,203,819,914
204,204,577,1022
205,205,821,1049
206,206,743,589
207,207,692,870
208,208,604,511
209,209,793,693
210,210,668,714
211,211,723,778
212,212,733,767
213,213,560,944
214,214,605,742
215,215,661,586
216,216,623,780
217,217,711,766
218,218,583,815
219,219,689,642
220,220,756,769
221,221,734,954
222,222,633,939
223,223,490,700
224,224,463,593
225,225,725,758
226,226,685,458
227,227,858,606
228,228,746,476
229,229,777,647
230,230,807,605
231,231,694,751
232,232,844,653
233,233,572,788
234,234,655,573
235,235,705,540
236,236,606,782
237,237,791,651
238,238,870,784
239,239,499,627
240,240,791,699
241,241,796,560
242,242,732,950
243,243,741,712
244,244,662,653
245,245,822,864
246,246,741,722
247,247,788,584
248,248,630,459
249,249,807,601
250,250,708,662
251,251,562,775
252,252,962,608
253,253,598,886
254,254,868,674
255,255,744,590
256,256,427,575
257,257,562,667
258,258,737,848
259,259,703,578
260,260,923,659
261,261,916,631
262,262,632,851
263,263,691,701
264,264,931,904
265,265,816,893
266,266,827,913
267,267,663,694
268,268,445,613
269,269,688,662
270,270,493,618
271,271,464,633
272,272,422,649
273,273,668,771
274,274,966,553
275,275,677,1102
276,276,801,737
277,277,519,400
278,278,559,613
279,279,612,720
280,280,728,601
281,281,722,695
282,282,614,1176
283,283,636,611
284,284,791,835
285,285,561,814
286,286,653,715
287,287,804,836
288,288,987,763
289,289,448,787
290,290,717,953
291,291,498,545
292,292,909,686
293,293,584,676
294,294,625,793
295,295,683,731
296,296,704,473
297,297,680,686
298,298,715,700
299,299,500,575
300,300,757,1112
301,301,785,912
302,302,649,484
303,303,709,836
304,304,779,437
305,305,747,373
306,306,720,628
307,307,859,654
308,308,639,898
309,309,662,939
310,310,1004,855
311,311,847,1027
312,312,654,626
313,313,593,722
314,314,504,492
315,315,637,520
316,316,819,678
317,317,626,794
318,318,745,509
319,319,411,833
320,320,643,802
321,321,819,851
322,322,626,752
323,323,855,676
324,324,780,908
325,325,523,704
326,326,746,812
327,327,760,705
328,328,657,874
329,329,674,1096
330,330,755,315
331,331,606,920
332,332,613,978
333,333,956,748
334,334,731,804
335,335,626,878
336,336,767,709
337,337,785,746
338,338,838,588
339,339,541,536
340,340,638,639
341,341,565,896
342,342,818,754
343,343,776,740
344,344,895,536
345,345,728,813
346,346,709,766
347,347,448,630
348,348,623,602
349,349,784,777
350,350,628,581
351,351,839,729
352,352,731,762
353,353,663,434
354,354,502,738
355,355,735,884
356,356,786,812
357,357,453,732
358,358,515,961
359,359,632,660
360,360,546,415
361,361,715,445
362,362,824,332
363,363,645,437
364,364,696,843
365,365,733,847
366,366,675,732
367,367,747,942
368,368,605,736
369,369,610,579
370,370,888,771
371,371,596,830
372,372,519,489
373,373,462,654
374,374,879,634
375,375,780,765
376,376,633,298
377,377,1023,837
378,378,603,704
379,379,964,634
380,380,699,1023
381,381,808,818
382,382,670,792
383,383,856,730
384,384,488,622
385,385,738,664
386,386,514,810
387,387,698,661
388,388,705,435
389,389,839,621
390,390,541,800
391,391,638,773
392,392,675,785
393,393,960,603
394,394,736,732
395,395,668,658
396,396,663,797
397,397,464,611
398,398,463,418
399,399,557,818
400,400,767,697
401,401,984,836
402,402,650,774
403,403,638,764
404,404,1117,708
405,405,553,620
406,406,819,582
407,407,864,748
408,408,463,843
409,409,860,648
410,410,684,889
411,411,747,700
412,412,621,464
413,413,685,681
414,414,504,949
415,415,748,623
416,416,764,687
417,417,641,584
418,418,822,964
419,419,716,497
420,420,689,859
421,421,841,658
422,422,535,791
423,423,635,853
424,424,1018,542
425,425,606,668
426,426,664,712
427,427,665,745
428,428,995,974
429,429,535,698
430,430,610,823
431,431,567,569
432,432,668,795
433,433,859,918
434,434,774,573
435,435,950,884
436,436,665,784
437,437,608,519
438,438,803,602
439,439,663,813
440,440,559,970
441,441,556,819
442,442,726,836
443,443,508,679
444,444,631,616
445,445,710,601
446,446,555,661
447,447,967,835
448,448,876,652
449,449,672,903
450,450,893,749
451,451,902,724
452,452,618,553
453,453,817,875
454,454,662,577
455,455,515,805
456,456,537,648
457,457,794,754
458,458,308,428
459,459,646,634
460,460,1019,619
461,461,895,803
462,462,493,717
463,463,694,891
464,464,762,807
465,465,536,678
466,466,764,687
467,467,714,715
468,468,716,731
469,469,689,740
470,470,481,756
471,471,666,676
472,472,507,483
473,473,697,498
474,474,772,1028
475,475,776,750
476,476,623,778
477,477,651,703
478,478,599,784
479,479,896,667
480,480,695,584
481,481,688,580
482,482,818,765
483,483,775,507
484,484,792,635
485,485,910,851
486,486,816,687
487,487,726,778
488,488,583,682
489,489,725,491
490,490,609,458
491,491,787,583
492,492,434,530
493,493,568,609
494,494,498,775
495,495,695,811
496,496,938,529
497,497,777,715
498,498,739,715
499,499,621,584
500,500,607,552
501,501,719,889
502,502,793,898
503,503,430,632
504,504,848,557
505,505,950,469
506,506,639,560
507,507,955,656
508,508,548,317
509,509,832,601
510,510,684,691
511,511,770,812
512,512,587,553
513,513,1015,830
514,514,905,854
515,515,626,732
516,516,679,672
517,517,722,578
518,518,667,572
519,519,741,474
520,520,617,858
521,521,561,760
522,522,800,687
523,523,794,661
524,524,629,764
525,525,840,460
526,526,760,812
527,527,281,833
528,528,750,806
529,529,770,585
530,530,724,953
531,531,836,753
532,532,625,904
533,533,655,823
534,534,665,737
535,535,457,594
536,536,657,940
537,537,576,562
538,538,633,625
539,539,626,932
540,540,737,707
541,541,683,786
542,542,844,800
543,543,915,645
544,544,789,578
545,545,722,724
546,546,882,673
547,547,536,753
548,548,575,510
549,549,586,624
550,550,948,912
551,551,450,660
552,552,826,423
553,553,780,478
554,554,811,842
555,555,598,662
556,556,948,679
557,557,630,884
558,558,794,600
559,559,798,938
560,560,738,604
561,561,809,587
562,562,788,860
563,563,633,376
564,564,534,566
565,565,832,616
566,566,675,922
567,567,728,596
568,568,628,1075
569,569,756,717
570,570,755,934
571,571,806,576
572,572,612,898
573,573,780,754
574,574,757,609
575,575,772,936
576,576,686,670
577,577,927,813
578,578,984,626
579,579,871,926
580,580,545,783
581,581,745,453
582,582,692,683
583,583,528,624
584,584,535,599
585,585,586,766
586,586,599,639
587,587,745,521
588,588,563,754
589,589,833,837
590,590,772,840
591,591,896,861
592,592,905,742
593,593,1026,708
594,594,663,660
595,595,551,708
596,596,679,683
597,597,975,726
598,598,608,624
599,599,705,600
600,600,852,845
601,601,841,755
602,602,823,885
603,603,692,801
604,604,693,631
605,605,719,604
606,606,579,568
607,607,695,511
608,608,720,846
609,609,841,841
610,610,985,867
611,611,634,865
612,612,673,468
613,613,753,544
614,614,989,697
615,615,705,643
616,616,755,593
617,617,1103,566
618,618,877,680
619,619,735,537
620,620,731,887
621,621,666,799
622,622,645,546
623,623,519,899
624,624,554,781
625,625,663,731
626,626,680,650
627,627,538,466
628,628,905,862
629,629,612,675
630,630,741,582
631,631,511,864
632,632,757,550
633,633,580,679
634,634,893,506
635,635,781,646
636,636,668,792
637,637,680,880
638,638,432,688
639,639,668,698
640,640,580,780
641,641,726,693
642,642,768,704
643,643,750,564
644,644,851,1216
645,645,912,726
646,646,627,586
647,647,630,712
648,648,544,586
649,649,535,539
650,650,859,942
651,651,791,847
652,652,503,796
653,653,877,821
654,654,748,689
655,655,676,827
656,656,550,644
657,657,846,873
658,658,722,671
659,659,668,733
660,660,669,540
661,661,824,693
662,662,612,832
663,663,820,825
664,664,557,863
665,665,551,738
666,666,766,840
667,667,494,662
668,668,883,670
669,669,626,559
670,670,822,669
671,671,566,406
672,672,649,722
673,673,646,779
674,674,659,559
675,675,634,651
676,676,463,702
677,677,665,485
678,678,653,494
679,679,520,718
680,680,569,632
681,681,649,636
682,682,439,379
683,683,761,644
684,684,694,811
685,685,617,699
686,686,647,499
687,687,737,655
688,688,733,865
689,689,856,648
690,690,838,734
691,691,629,770
692,692,796,868
693,693,815,504
694,694,543,415
695,695,749,894
696,696,816,739
697,697,668,753
698,698,839,432
699,699,660,729
700,700,542,740
701,701,693,748
702,702,631,423
703,703,745,716
704,704,808,617
705,705,594,686
706,706,665,685
707,707,867,792
708,708,596,717
709,709,837,881
710,710,554,526
711,711,813,556
712,712,739,652
713,713,379,685
714,714,604,509
715,715,595,788
716,716,966,952
717,717,759,784
718,718,518,580
719,719,622,727
720,720,604,647
721,721,722,539
722,722,422,643
723,723,629,806
724,724,728,685
725,725,585,652
726,726,604,588
727,727,566,446
728,728,469,812
729,729,766,654
730,730,731,572
731,731,411,398
732,732,686,632
733,733,757,647
734,734,654,660
735,735,956,690
736,736,465,747
737,737,416,478
738,738,718,532
739,739,836,919
740,740,655,671
741,741,748,557
742,742,449,616
743,743,744,608
744,744,817,762
745,745,722,694
746,746,792,692
747,747,573,596
748,748,514,732
749,749,792,783
750,750,805,653
751,751,939,731
752,752,517,862
753,753,939,688
754,754,680,653
755,755,509,716
756,756,544,772
757,757,696,537
758,758,684,511
759,759,597,568
760,760,610,646
761,761,767,911
762,762,338,347
763,763,797,934
764,764,532,703
765,765,813,963
766,766,648,891
767,767,569,762
768,768,683,645
769,769,889,754
770,770,779,823
771,771,463,700
772,772,895,798
773,773,619,586
774,774,742,539
775,775,617,673
776,776,665,612
777,777,656,730
778,778,628,552
779,779,885,693
780,780,599,538
781,781,764,961
782,782,673,536
783,783,695,541
784,784,952,566
785,785,679,618
786,786,619,689
787,787,990,639
788,788,780,484
789,789,423,639
790,790,741,714
791,791,649,534
792,792,742,621
793,793,751,749
794,794,653,802
795,795,414,713
796,796,650,700
797,797,657,381
798,798,624,580
799,799,838,560
800,800,992,621
801,801,600,516
802,802,553,708
803,803,813,776
804,804,782,642
805,805,537,682
806,806,634,1015
807,807,603,1167
808,808,803,751
809,809,944,733
810,810,759,430
811,811,598,748
812,812,808,809
813,813,630,693
814,814,610,512
815,815,746,976
816,816,528,497
817,817,557,874
818,818,734,896
819,819,482,663
820,820,835,829
821,821,823,828
822,822,708,823
823,823,563,515
824,824,510,601
825,825,680,679
826,826,553,723
827,827,619,612
828,828,806,729
829,829,706,659
830,830,468,488
831,831,812,742
832,832,869,788
833,833,842,886
834,834,586,535
835,835,442,507
836,836,496,485
837,837,862,831
838,838,933,804
839,839,1088,948
840,840,647,564
841,841,685,620
842,842,687,637
843,843,697,553
844,844,740,665
845,845,670,767
846,846,700,716
847,847,726,887
848,848,670,738
849,849,852,563
850,850,605,835
851,851,323,620
852,852,876,773
853,853,636,737
854,854,722,740
855,855,699,471
856,856,821,597
857,857,821,524
858,858,854,814
859,859,511,539
860,860,347,921
861,861,664,651
862,862,862,629
863,863,1023,880
864,864,612,593
865,865,566,659
866,866,469,473
867,867,868,782
868,868,946,601
869,869,648,492
870,870,604,560
871,871,598,651
872,872,756,679
873,873,933,892
874,874,795,596
875,875,807,752
876,876,679,821
877,877,579,698
878,878,789,955
879,879,854,1014
880,880,702,655
881,881,615,887
882,882,591,873
883,883,1044,471
884,884,673,639
885,885,840,641
886,886,773,645
887,887,868,630
888,888,643,659
889,889,761,685
890,890,722,645
891,891,725,752
892,892,846,857
893,893,775,682
894,894,456,497
895,895,743,692
896,896,752,685
897,897,738,681
898,898,636,730
899,899,772,478
900,900,691,521
901,901,745,675
902,902,941,593
903,903,726,671
904,904,847,1031
905,905,702,717
906,906,706,871
907,907,767,1025
908,908,651,680
909,909,794,553
910,910,403,673
911,911,676,875
912,912,782,545
913,913,679,803
914,914,878,624
915,915,934,670
916,916,614,824
917,917,801,622
918,918,781,787
919,919,624,646
920,920,885,826
921,921,607,831
922,922,793,720
923,923,829,661
924,924,443,730
925,925,873,749
926,926,412,561
927,927,483,533
928,928,654,407
929,929,605,789
930,930,448,592
931,931,818,663
932,932,684,537
933,933,702,623
934,934,665,874
935,935,446,544
936,936,618,413
937,937,479,441
938,938,781,513
939,939,485,391
940,940,1004,650
941,941,582,810
942,942,792,915
943,943,443,853
944,944,415,659
945,945,911,754
946,946,694,536
947,947,556,579
948,948,791,1082
949,949,755,959
950,950,639,750
951,951,731,1121
952,952,948,944
953,953,762,549
954,954,697,763
955,955,580,582
956,956,500,640
957,957,873,915
958,958,598,569
959,959,943,1079
960,960,518,709
961,961,595,554
962,962,765,703
963,963,899,754
964,964,571,773
965,965,814,794
966,966,724,760
967,967,643,752
968,968,577,617
969,969,607,533
970,970,908,949
971,971,647,859
972,972,595,750
973,973,624,432
974,974,825,654
975,975,711,638
976,976,746,670
977,977,794,852
978,978,1035,646
979,979,753,769
980,980,487,669
981,981,676,717
982,982,996,1086
983,983,776,947
984,984,925,736
985,985,660,736
986,986,717,873
987,987,896,475
988,988,457,587
989,989,697,699
990,990,450,611
991,991,774,597
992,992,743,897
993,993,511,710
994,994,720,558
995,995,844,927
996,996,695,1005
997,997,633,602
998,998,736,792
999,999,517,529
1000,1000,780,598
1001,1001,464,800
1002,1002,511,579
1003,1003,688,719
1004,1004,724,723
1005,1005,689,769
1006,1006,591,801
1007,1007,576,638
1008,1008,814,1030
1009,1009,473,777
1010,1010,701,949
1011,1011,656,863
1012,1012,450,455
1013,1013,653,1021
1014,1014,902,698
1015,1015,812,861
1016,1016,894,752
1017,1017,544,702
1018,1018,720,764
1019,1019,636,757
1020,1020,774,352
1021,1021,961,516
1022,1022,539,700
1023,1023,687,607
1024,1024,950,725
1025,1025,662,689
1026,1026,636,402
1027,1027,662,704
1028,1028,561,666
1029,1029,695,661
1030,1030,804,936
1031,1031,746,634
1032,1032,665,704
1033,1033,622,606
1034,1034,610,641
1035,1035,796,725
1036,1036,786,705
1037,1037,648,797
1038,1038,662,705
1039,1039,660,615
1040,1040,644,665
1041,1041,602,921
1042,1042,673,636
1043,1043,949,1096
1044,1044,717,819
1045,1045,478,715
1046,1046,677,646
1047,1047,762,684
1048,1048,1125,740
1049,1049,624,650
1050,1050,734,493
1051,1051,817,776
1052,1052,612,724
1053,1053,589,1150
1054,1054,791,481
1055,1055,476,647
1056,1056,700,546
1057,1057,568,738
1058,1058,443,705
1059,1059,683,941
1060,1060,554,664
1061,1061,915,808
1062,1062,647,657
1063,1063,637,601
1064,1064,793,568
1065,1065,520,722
1066,1066,913,752
1067,1067,826,766
1068,1068,663,566
1069,1069,826,663
1070,1070,791,735
1071,1071,928,641
1072,1072,578,613
1073,1073,903,884
1074,1074,728,968
1075,1075,672,959
1076,1076,720,941
1077,1077,1212,569
1078,1078,903,872
1079,1079,795,1040
1080,1080,715,465
1081,1081,637,888
1082,1082,524,420
1083,1083,808,640
1084,1084,922,628
1085,1085,623,634
1086,1086,545,798
1087,1087,652,555
1088,1088,900,721
1089,1089,541,828
1090,1090,787,390
1091,1091,782,747
1092,1092,785,966
1093,1093,807,917
1094,1094,838,688
1095,1095,771,863
1096,1096,624,703
1097,1097,914,720
1098,1098,616,946
1099,1099,686,361
1100,1100,732,755
1101,1101,583,853
1102,1102,872,659
1103,1103,583,564
1104,1104,678,736
1105,1105,666,760
1106,1106,815,720
1107,1107,478,788
1108,1108,414,290
1109,1109,478,869
1110,1110,654,888
1111,1111,705,475
1112,1112,680,711
1113,1113,853,860
1114,1114,844,701
1115,1115,835,895
1116,1116,770,824
1117,1117,592,761
1118,1118,562,935
1119,1119,774,623
1120,1120,585,838
1121,1121,550,752
1122,1122,987,844
1123,1123,656,1047
1124,1124,717,773
1125,1125,548,544
1126,1126,659,759
1127,1127,416,392
1128,1128,807,608
1129,1129,774,727
1130,1130,1029,755
1131,1131,665,544
1132,1132,791,481
1133,1133,664,744
1134,1134,868,709
1135,1135,710,709
1136,1136,965,725
1137,1137,742,917
1138,1138,587,793
1139,1139,723,672
1140,1140,778,669
1141,1141,873,867
1142,1142,505,803
1143,1143,910,895
1144,1144,790,901
1145,1145,950,782
1146,1146,799,1015
1147,1147,688,674
1148,1148,852,866
1149,1149,643,638
1150,1150,552,739
1151,1151,792,924
1152,1152,888,362
1153,1153,642,844
1154,1154,732,782
1155,1155,796,689
1156,1156,991,719
1157,1157,478,666
1158,1158,528,477
1159,1159,557,589
1160,1160,737,686
1161,1161,645,562
1162,1162,643,803
1163,1163,963,936
1164,1164,445,915
1165,1165,794,848
1166,1166,659,768
1167,1167,772,921
1168,1168,973,739
1169,1169,854,603
1170,1170,647,890
1171,1171,621,789
1172,1172,522,764
1173,1173,455,788
1174,1174,581,751
1175,1175,655,691
1176,1176,393,447
1177,1177,665,1002
1178,1178,599,745
1179,1179,653,723
1180,1180,681,724
1181,1181,543,281
1182,1182,755,698
1183,1183,559,640
1184,1184,605,587
1185,1185,919,828
1186,1186,1044,777
1187,1187,765,598
1188,1188,656,739
1189,1189,793,655
1190,1190,606,572
1191,1191,720,870
1192,1192,674,677
1193,1193,658,658
1194,1194,735,822
1195,1195,778,706
1196,1196,635,784
1197,1197,675,525
1198,1198,703,753
1199,1199,487,1005
1200,1200,629,818
1201,1201,992,863
1202,1202,701,886
1203,1203,559,655
1204,1204,920,814
1205,1205,670,788
1206,1206,538,755
1207,1207,587,735
1208,1208,482,432
1209,1209,848,702
1210,1210,918,686
1211,1211,541,402
1212,1212,657,532
1213,1213,443,595
1214,1214,505,530
1215,1215,533,750
1216,1216,623,1098
1217,1217,294,531
1218,1218,424,876
1219,1219,797,913
1220,1220,960,514
1221,1221,699,872
1222,1222,583,979
1223,1223,819,932
1224,1224,625,896
1225,1225,549,718
1226,1226,693,605
1227,1227,830,717
1228,1228,888,730
1229,1229,601,716
1230,1230,802,549
1231,1231,799,855
1232,1232,728,717
1233,1233,813,951
1234,1234,780,397
1235,1235,583,484
1236,1236,609,708
1237,1237,596,540
1238,1238,697,691
1239,1239,889,764
1240,1240,586,872
1241,1241,791,709
1242,1242,721,607
1243,1243,845,752
1244,1244,645,524
1245,1245,602,719
1246,1246,666,679
1247,1247,694,638
1248,1248,690,857
1249,1249,602,731
1250,1250,575,570
1251,1251,578,738
1252,1252,497,633
1253,1253,597,640
1254,1254,727,1088
1255,1255,959,842
1256,1256,876,752
1257,1257,469,667
1258,1258,670,667
1259,1259,659,832
1260,1260,474,485
1261,1261,690,676
1262,1262,979,737
1263,1263,688,566
1264,1264,467,652
1265,1265,692,872
1266,1266,687,769
1267,1267,655,570
1268,1268,809,704
1269,1269,610,812
1270,1270,815,609
1271,1271,801,998
1272,1272,689,778
1273,1273,601,586
1274,1274,909,748
1275,1275,613,630
1276,1276,665,722
1277,1277,704,623
1278,1278,778,632
1279,1279,750,1004
1280,1280,948,725
1281,1281,680,470
1282,1282,799,556
1283,1283,817,805
1284,1284,887,661
1285,1285,779,618
1286,1286,576,963
1287,1287,591,719
1288,1288,768,1033
1289,1289,806,484
1290,1290,948,687
1291,1291,687,735
1292,1292,738,1142
1293,1293,652,875
1294,1294,581,694
1295,1295,742,451
1296,1296,1041,731
1297,1297,655,682
1298,1298,645,539
1299,1299,782,642
1300,1300,779,558
1301,1301,811,622
1302,1302,784,609
1303,1303,755,727
1304,1304,704,863
1305,1305,816,542
1306,1306,879,710
1307,1307,700,772
1308,1308,583,630
1309,1309,858,624
1310,1310,680,747
1311,1311,662,769
1312,1312,928,479
1313,1313,803,721
1314,1314,701,579
1315,1315,918,498
1316,1316,838,764
1317,1317,736,718
1318,1318,555,767
1319,1319,503,647
1320,1320,866,680
1321,1321,650,718
1322,1322,593,820
1323,1323,534,722
1324,1324,668,771
1325,1325,744,923
1326,1326,636,476
1327,1327,1100,1064
1328,1328,748,869
1329,1329,782,875
1330,1330,802,709
1331,1331,657,804
1332,1332,658,778
1333,1333,716,753
1334,1334,757,786
1335,1335,647,718
1336,1336,609,787
1337,1337,946,505
1338,1338,894,994
1339,1339,953,704
1340,1340,1005,888
1341,1341,800,864
1342,1342,646,679
1343,1343,782,818
1344,1344,476,617
1345,1345,592,923
1346,1346,750,762
1347,1347,776,824
1348,1348,675,707
1349,1349,753,507
1350,1350,915,679
1351,1351,654,544
1352,1352,704,676
1353,1353,747,740
1354,1354,592,729
1355,1355,853,655
1356,1356,567,487
1357,1357,658,812
1358,1358,674,692
1359,1359,844,569
1360,1360,667,564
1361,1361,528,722
1362,1362,639,732
1363,1363,645,729
1364,1364,698,581
1365,1365,1119,935
1366,1366,755,647
1367,1367,796,612
1368,1368,558,470
1369,1369,682,584
1370,1370,799,517
1371,1371,684,610
1372,1372,891,708
1373,1373,865,611
1374,1374,579,807
1375,1375,529,724
1376,1376,676,629
1377,1377,553,569
1378,1378,687,680
1379,1379,573,670
1380,1380,821,742
1381,1381,755,833
1382,1382,751,778
1383,1383,723,600
1384,1384,776,781
1385,1385,544,570
1386,1386,708,737
1387,1387,437,687
1388,1388,928,823
1389,1389,760,528
1390,1390,724,679
1391,1391,789,521
1392,1392,510,796
1393,1393,623,748
1394,1394,727,606
1395,1395,675,891
1396,1396,433,499
1397,1397,711,763
1398,1398,766,828
1399,1399,722,697
1400,1400,622,322
1401,1401,770,799
1402,1402,535,651
1403,1403,798,805
1404,1404,549,802
1405,1405,622,567
1406,1406,659,813
1407,1407,713,556
1408,1408,749,495
1409,1409,862,831
1410,1410,489,946
1411,1411,688,629
1412,1412,612,581
1413,1413,727,459
1414,1414,682,759
1415,1415,436,740
1416,1416,580,653
1417,1417,771,511
1418,1418,544,695
1419,1419,687,834
1420,1420,708,710
1421,1421,747,538
1422,1422,851,604
1423,1423,814,1000
1424,1424,806,858
1425,1425,745,800
1426,1426,636,573
1427,1427,776,810
1428,1428,793,793
1429,1429,933,847
1430,1430,865,883
1431,1431,657,620
1432,1432,707,678
1433,1433,736,523
1434,1434,651,654
1435,1435,661,796
1436,1436,620,707
1437,1437,816,756
1438,1438,691,595
1439,1439,723,644
1440,1440,646,602
1441,1441,840,778
1442,1442,735,459
1443,1443,690,880
1444,1444,907,630
1445,1445,563,957
1446,1446,699,821
1447,1447,481,841
1448,1448,1069,706
1449,1449,1054,594
1450,1450,769,797
1451,1451,647,505
1452,1452,703,538
1453,1453,644,642
1454,1454,743,633
1455,1455,658,652
1456,1456,579,682
1457,1457,842,667
1458,1458,580,1001
1459,1459,610,561
1460,1460,759,735
1461,1461,919,610
1462,1462,826,872
1463,1463,826,682
1464,1464,547,683
1465,1465,556,780
1466,1466,637,521
1467,1467,773,707
1468,1468,663,590
1469,1469,783,991
1470,1470,748,694
1471,1471,451,686
1472,1472,781,847
1473,1473,884,844
1474,1474,576,832
1475,1475,842,529
1476,1476,832,584
1477,1477,631,750
1478,1478,931,726
1479,1479,923,754
1480,1480,651,1036
1481,1481,873,724
1482,1482,1056,762
1483,1483,451,723
1484,1484,700,784
1485,1485,738,1080
1486,1486,635,661
1487,1487,896,701
1488,1488,770,642
1489,1489,672,780
1490,1490,684,801
1491,1491,448,461
1492,1492,558,870
1493,1493,761,864
1494,1494,378,476
1495,1495,849,710
1496,1496,785,623
1497,1497,815,522
1498,1498,697,665
1499,1499,534,694
1500,1500,911,729
1501,1501,661,636
1502,1502,807,639
1503,1503,763,583
1504,1504,664,636
1505,1505,719,787
1506,1506,907,781
1507,1507,651,831
1508,1508,747,834
1509,1509,586,618
1510,1510,661,621
1511,1511,682,760
1512,1512,651,773
1513,1513,629,630
1514,1514,699,974
1515,1515,980,807
1516,1516,783,782
1517,1517,693,681
1518,1518,766,738
1519,1519,819,749
1520,1520,757,831
1521,1521,483,704
1522,1522,506,617
1523,1523,920,874
1524,1524,816,667
1525,1525,742,729
1526,1526,788,766
1527,1527,812,915
1528,1528,724,508
1529,1529,726,634
1530,1530,1213,887
1531,1531,523,757
1532,1532,531,715
1533,1533,750,644
1534,1534,765,396
1535,1535,941,608
1536,1536,738,673
1537,1537,661,764
1538,1538,545,687
1539,1539,483,670
1540,1540,858,539
1541,1541,607,729
1542,1542,765,766
1543,1543,903,783
1544,1544,507,684
1545,1545,714,661
1546,1546,511,530
1547,1547,827,731
1548,1548,544,553
1549,1549,586,1005
1550,1550,531,845
1551,1551,822,835
1552,1552,893,636
1553,1553,574,892
1554,1554,888,530
1555,1555,507,598
1556,1556,838,561
1557,1557,697,791
1558,1558,544,801
1559,1559,729,812
1560,1560,962,699
1561,1561,714,854
1562,1562,638,793
1563,1563,663,870
1564,1564,690,769
1565,1565,996,568
1566,1566,659,671
1567,1567,911,750
1568,1568,837,884
1569,1569,859,777
1570,1570,848,749
1571,1571,621,604
1572,1572,585,1087
1573,1573,403,437
1574,1574,622,703
1575,1575,698,923
1576,1576,784,545
1577,1577,786,726
1578,1578,1163,1016
1579,1579,590,787
1580,1580,708,819
1581,1581,741,885
1582,1582,654,634
1583,1583,792,672
1584,1584,987,700
1585,1585,747,609
1586,1586,661,544
1587,1587,948,716
