iter	MultiClass
235	0.5972660504
236	0.5971631151
237	0.5967853854
238	0.5965213893
239	0.59628587
240	0.596180196
241	0.5961005287
242	0.5960358989
243	0.5959944891
244	0.5959695064
245	0.5958077566
246	0.5956774883
247	0.5954773698
248	0.595414905
249	0.5953229681
250	0.5952527481
251	0.5951640986
252	0.5951489422
253	0.5950827916
254	0.5945109774
255	0.5943228073
256	0.5942841929
257	0.5938814983
258	0.5935052071
259	0.5932402973
260	0.5930782248
261	0.5927536146
262	0.5925523673
263	0.5924892056
264	0.5921221873
265	0.591900738
266	0.5916903841
267	0.5916365893
268	0.5913697274
269	0.5911236959
270	0.5910414361
271	0.5910126736
272	0.5907693172
273	0.5907114598
274	0.5905314805
275	0.5904029305
276	0.5902684378
277	0.5899694106
278	0.5895781605
279	0.5894191984
280	0.589402735
281	0.588855323
282	0.5887596055
283	0.5887333451
284	0.5885357515
285	0.5884933239
286	0.5884378706
287	0.5882395884
288	0.5881199019
289	0.5878290793
290	0.5877398837
291	0.5876238016
292	0.5874841211
293	0.5872999974
294	0.58725169
295	0.5871175107
296	0.5871092529
297	0.5866990312
298	0.5865516296
299	0.5864209149
300	0.5860621485
301	0.5859888104
302	0.5859003283
303	0.5857204102
304	0.5856377171
305	0.5855733314
306	0.5854822116
307	0.585211798
308	0.5849047523
309	0.5848219057
310	0.5848089612
311	0.5845664614
312	0.5844632008
313	0.584333674
314	0.5840607827
315	0.5839231705
316	0.5834497599
317	0.5833521485
318	0.5833293645
319	0.5831356716
320	0.5829434363
321	0.5827332146
322	0.5823423332
323	0.5821659048
324	0.5819811093
325	0.5819019896
326	0.5818031177
327	0.5815462704
328	0.5811895584
329	0.5809249933
330	0.5808628166
331	0.5807978582
332	0.5807724794
333	0.5804830404
334	0.5804499609
335	0.5804356961
336	0.5803671305
337	0.5802487898
338	0.5801958299
339	0.5799929169
340	0.5799068958
341	0.5798704304
342	0.5798441672
343	0.5796896623
344	0.5796130439
345	0.5795572611
346	0.5794682036
347	0.5794297348
348	0.5794045028
349	0.5792913734
350	0.5790545582
351	0.578760678
352	0.5786026343
353	0.5785637935
354	0.5785361593
355	0.5785053178
356	0.5784687124
357	0.578258141
358	0.5781618691
359	0.5781273247
360	0.5780923902
361	0.5780014249
362	0.5776020643
363	0.5773712152
364	0.5772719586
365	0.5771857281
366	0.5771348142
367	0.5770019341
368	0.5768498019
369	0.5768055987
370	0.5767350755
371	0.5765233752
372	0.5764138648
373	0.5761113853
374	0.5759707255
375	0.5756365599
376	0.5756045932
377	0.5755827612
378	0.5754540586
379	0.5752192273
380	0.5751630236
381	0.5751028195
382	0.5750795113
383	0.5750617098
384	0.5749804509
385	0.5749611702
386	0.5748996856
387	0.5748773512
388	0.5748575041
389	0.5746545451
390	0.5744386433
391	0.5744177945
392	0.5743068225
393	0.5742813122
394	0.5741292166
395	0.574090166
396	0.5740755135
397	0.573961843
398	0.573893219
399	0.5737962015
400	0.5735103582
401	0.5733601586
402	0.5732203017
403	0.5731086199
404	0.5730957517
405	0.5730535427
406	0.5729308425
407	0.5725251207
408	0.5723976894
409	0.5721843379
410	0.571984946
411	0.5719598878
412	0.5719456526
413	0.571871664
414	0.5717328002
415	0.5716779889
416	0.5714242024
417	0.5713784842
418	0.5712760199
419	0.57116675
420	0.5710695209
421	0.5708928785
422	0.5706974037
423	0.5706499467
424	0.5705010842
425	0.570466342
426	0.5703995203
427	0.5699919198
428	0.5699539151
429	0.5697807018
430	0.5697429419
431	0.569735937
432	0.569327235
433	0.5692213716
434	0.56920427
435	0.5691811857
436	0.5691688519
437	0.5691416056
438	0.5689552349
439	0.5688909423
440	0.5688374852
441	0.5686768705
442	0.5686569544
443	0.5684040611
444	0.5683910877
445	0.5683231578
446	0.5681964045
447	0.567952775
448	0.5676601711
449	0.5674823997
450	0.5671919324
451	0.5671163581
452	0.5669839394
453	0.5668515491
454	0.5666495105
455	0.5665557819
456	0.5665216473
457	0.5664325753
458	0.5664020387
459	0.5662509295
460	0.5661288727
461	0.5661055691
462	0.5659146948
463	0.5656002663
464	0.565540391
465	0.5654213813
466	0.5653016665
467	0.565065347
468	0.5650478572
469	0.5649726979
470	0.5649632744
471	0.564933644
472	0.5645417912
473	0.5642976571
474	0.5642368572
475	0.5641477592
476	0.5640540497
477	0.5640237641
478	0.5639897373
479	0.563832931
480	0.5638226816
481	0.5636333691
482	0.5635068711
483	0.563376625
484	0.5633428503
485	0.5632044115
486	0.5631912409
487	0.5630637902
488	0.5629470541
489	0.562758242
490	0.5627001425
491	0.5622964967
492	0.5621722299
493	0.5618734726
494	0.5618029601
495	0.5617668769
496	0.5616722129
497	0.5615977523
498	0.561459624
499	0.5612765982
500	0.5612322757
501	0.5611420188
502	0.5609106872
503	0.5607070276
504	0.5606865464
505	0.5604521901
506	0.5602837557
507	0.5602717207
508	0.5602317052
509	0.5600637937
510	0.5600306707
511	0.5597552263
512	0.559613283
513	0.5595826542
514	0.5595412044
515	0.5595025923
516	0.5594571484
517	0.5593198945
518	0.5591524201
519	0.5588778565
520	0.5588645985
521	0.5587053908
522	0.5586809695
523	0.5584801524
524	0.5584154794
525	0.5581109937
526	0.557913587
527	0.5578470537
528	0.5576146886
529	0.5575275592
530	0.5574371916
531	0.5574284421
532	0.5573067195
533	0.557221205
534	0.5572107954
535	0.5571938005
536	0.5571639554
537	0.5571086376
538	0.5570186824
539	0.5564035427
540	0.5563265634
541	0.5562164795
542	0.5559108393
543	0.5558592361
544	0.5556319275
545	0.5555782693
546	0.5555339028
547	0.5554242275
548	0.5553847733
549	0.5552411351
550	0.5549957878
551	0.554858005
552	0.5548400631
553	0.5547867255
554	0.5547467513
555	0.5547235021
556	0.5547009839
557	0.5545373659
558	0.5544939789
559	0.5542348901
560	0.5540420813
561	0.5537372845
562	0.5536275816
563	0.5535377168
564	0.5534965987
565	0.5534574032
566	0.553357547
567	0.5531349437
568	0.5530192846
569	0.5528766757
570	0.5527891051
571	0.5526793184
572	0.5525664748
573	0.5525051651
574	0.5524672157
575	0.5522915695
576	0.5522601035
577	0.5520746493
578	0.5520400889
579	0.5517659052
580	0.5516092591
581	0.5514221312
582	0.5512325781
583	0.5509955822
584	0.5509688175
585	0.550932209
586	0.5507620084
587	0.5507011796
588	0.5505148545
589	0.5504994285
590	0.5504806761
591	0.5504560878
592	0.5504296358
593	0.5503383523
594	0.5502007461
595	0.5498685286
596	0.5498308465
597	0.5497306117
598	0.5497042765
599	0.5496347611
600	0.5493487787
601	0.5492561008
602	0.549232634
603	0.5492274079
604	0.549089186
605	0.5488986949
606	0.5488015372
607	0.548644968
608	0.5484718678
609	0.5483317789
610	0.5481381294
611	0.5480721918
612	0.5480592415
613	0.5480209727
614	0.5479881335
615	0.5479130298
616	0.5478666624
617	0.5476602998
618	0.5473811181
619	0.5473130842
620	0.5468622638
621	0.5466255135
622	0.54650777
623	0.5464986757
624	0.5464602795
625	0.5464457546
626	0.5462813356
627	0.5459381819
628	0.5457212444
629	0.5456230742
630	0.5455595632
631	0.5454457796
632	0.5453669263
633	0.5452833372
634	0.545262195
635	0.5452005151
636	0.54509673
637	0.5450037044
638	0.5449820099
639	0.5449709817
640	0.5449623047
641	0.5449430049
642	0.5447879031
643	0.5446521743
644	0.5443973445
645	0.5441306269
646	0.5441050663
647	0.5439987049
648	0.5436441078
649	0.5435743425
650	0.543323461
651	0.5429364428
652	0.5427775173
653	0.5424604109
654	0.5424016744
655	0.5423476519
656	0.5422810649
657	0.5422528967
658	0.5422419553
659	0.5421015273
660	0.5418621253
661	0.5418303849
662	0.5417965048
663	0.5415531884
664	0.5415114261
665	0.5414561848
666	0.5414499847
667	0.5414358886
668	0.5411444487
669	0.5409435227
670	0.5408904258
671	0.5408675372
672	0.5408492222
673	0.5408220149
674	0.540770854
675	0.5405508018
676	0.5405316131
677	0.540453844
678	0.5404309468
679	0.5403317161
680	0.5402173333
681	0.5401529958
682	0.5397747812
683	0.5397509017
684	0.5397272537
685	0.5396721693
686	0.5394864918
687	0.5393673113
688	0.5392621357
689	0.5390869721
690	0.5390771368
691	0.5390182625
692	0.538843563
693	0.5387803243
694	0.5386107135
695	0.5385956384
696	0.5385332696
697	0.5383977423
698	0.5383493472
699	0.53815489
700	0.5381440241
701	0.5381075207
702	0.5380131263
703	0.5379798257
704	0.5379281408
705	0.5378932751
706	0.5376946249
707	0.5376485408
708	0.5375856438
709	0.5375711268
710	0.5374254496
711	0.537406442
712	0.5373185604
713	0.5372925791
714	0.5372240217
715	0.5371127709
716	0.5370582911
717	0.5370254368
718	0.5367671681
719	0.5367580955
720	0.5367081599
721	0.5365969514
722	0.536562999
723	0.5365090558
724	0.5363187119
725	0.5361890668
726	0.5361485468
727	0.5361020878
728	0.5359452402
729	0.5358678971
730	0.5357780027
731	0.5356436033
732	0.535603295
733	0.5355088421
734	0.5355037549
735	0.5354671354
736	0.5353556821
737	0.5350464892
738	0.5350238702
739	0.5349676835
740	0.5349103237
741	0.5348292419
742	0.534741176
743	0.5346209299
744	0.5343937137
745	0.534331137
746	0.5342422361
747	0.5341195713
748	0.533844773
749	0.5337305681
750	0.5333519663
751	0.5332707436
752	0.5331074421
753	0.5330925897
754	0.5329732475
755	0.5327391414
756	0.5327011718
757	0.5326711921
758	0.5324652075
759	0.5324587618
760	0.5324114729
761	0.5323346975
762	0.5323177798
763	0.5320291398
764	0.531932412
765	0.5317417435
766	0.5316895314
767	0.5313449959
768	0.5312699507
769	0.5312576782
770	0.5311492293
771	0.5310212313
772	0.5310111212
773	0.5309335226
774	0.5308413017
775	0.5308178344
776	0.5307203593
777	0.5306857315
778	0.5306553309
779	0.5303947167
780	0.5302984167
781	0.5302040702
782	0.53013129
783	0.5298827453
784	0.5297343269
785	0.5297086173
786	0.5296164268
787	0.5295664159
788	0.5293643536
789	0.5293444058
790	0.5292523212
791	0.5291154813
792	0.5290096543
793	0.52876356
794	0.5287314272
795	0.5286110084
796	0.5284260445
797	0.5282769905
798	0.5282554947
799	0.5282061892
800	0.5280331243
801	0.528000945
802	0.5278000393
803	0.5275444121
804	0.5275361343
805	0.5273108724
806	0.5270017508
807	0.5269933578
808	0.5269729494
809	0.5267493293
810	0.5267176173
811	0.5266170061
812	0.526571056
813	0.5265333234
814	0.526419522
815	0.5263268764
816	0.5262609664
817	0.5258322677
818	0.5255091353
819	0.5254610106
820	0.5253787714
821	0.5253734068
822	0.5252173947
823	0.5249638131
824	0.5248705248
825	0.524792617
826	0.5247205856
827	0.524662498
828	0.5245978648
829	0.5245261934
830	0.5244250791
831	0.5243315203
832	0.5241768894
833	0.5240345435
834	0.5239698321
835	0.5236398269
836	0.523620293
837	0.5235024466
838	0.5233965918
839	0.5232680162
840	0.5232336963
841	0.5231560802
842	0.5229867751
843	0.5228421482
844	0.5227380781
845	0.5226582804
846	0.5224222505
847	0.5223248017
848	0.5223207372
849	0.522089368
850	0.5219585965
851	0.5217839741
852	0.5215941838
853	0.5211785217
854	0.5211627645
855	0.5211171398
856	0.5210099487
857	0.5209353896
858	0.5208982695
859	0.5208332971
860	0.5207665958
861	0.5206700089
862	0.5204412298
863	0.5203876081
864	0.5202831433
865	0.5202113599
866	0.5201941747
867	0.519994426
868	0.519780988
869	0.5197289882
870	0.5196446953
871	0.5194960632
872	0.5193186111
873	0.5192362259
874	0.5191041134
875	0.5188554526
876	0.5187526195
877	0.5186228639
878	0.5185830477
879	0.5185540157
880	0.5184379041
881	0.5182863995
882	0.518187356
883	0.5181149811
884	0.5180970307
885	0.5180084267
886	0.5179355189
887	0.5176189967
888	0.5174988911
889	0.5172953044
890	0.5172603019
891	0.5172477038
892	0.5171704026
893	0.5171379483
894	0.5169474715
895	0.5167596839
896	0.5166517124
897	0.5166035952
898	0.5165122213
899	0.5163705157
900	0.5162252307
901	0.5160882961
902	0.5159962318
903	0.5158449508
904	0.5158205647
905	0.515816828
906	0.5157470735
907	0.5156392067
908	0.5155998891
909	0.5155278909
910	0.5154985671
911	0.5154456834
912	0.5154190144
913	0.5153225674
914	0.5152686775
915	0.5152370736
916	0.5149050003
917	0.514823003
918	0.5147935381
919	0.5144772301
920	0.514302404
921	0.5141752917
922	0.5140357154
923	0.5139654001
924	0.5139037758
925	0.5138399769
926	0.5138362906
927	0.5138212468
928	0.5136417917
929	0.5134325073
930	0.5133683884
931	0.51319342
932	0.5131849863
933	0.5129858085
934	0.5129142884
935	0.5129014536
936	0.5128322366
937	0.5128008895
938	0.5126269181
939	0.5124410496
940	0.5122632862
941	0.5120877356
942	0.5117266193
943	0.5116303018
944	0.5115855382
945	0.5114872322
946	0.5113940095
947	0.5113637937
948	0.5113189645
949	0.5112464307
950	0.5110893454
951	0.5109974584
952	0.5107018617
953	0.5104996517
954	0.5102075349
955	0.5101153184
956	0.510046181
957	0.5100413217
958	0.5099974516
959	0.5099056189
960	0.5097433729
961	0.5096542518
962	0.5096025467
963	0.5095787317
964	0.5095133397
965	0.509415693
966	0.5093853621
967	0.5093699683
968	0.5092341419
969	0.5092152011
970	0.5091128559
971	0.5090409886
972	0.5087473094
973	0.5085713062
974	0.5084587075
975	0.5082376811
976	0.508051985
977	0.5078344041
978	0.5076653364
979	0.5076032274
980	0.5075610465
981	0.5074920665
982	0.5071787157
983	0.5070879694
984	0.5070524949
985	0.5070071169
986	0.5068282524
987	0.5068233515
988	0.5066946614
989	0.5066100603
990	0.5066004199
991	0.5065533855
992	0.5063721174
993	0.5062624095
994	0.5061175733
995	0.5059441377
996	0.5058995722
997	0.505890014
998	0.5057001165
999	0.5056058498
